Rank,Team,Ranking Score,Auto,Scale/Challenge,Goals,Defense,Record (W-L-T),DQ,Played
1,6076,17,172,80,56,375,6-2-0,0,8
2,1595,17,172,75,96,370,6-2-0,0,8
3,2130,17,152,85,142,350,5-2-1,0,8
4,4061,16,180,70,85,410,4-3-1,0,8
5,3216,15,166,85,124,380,4-3-1,0,8
6,5461,15,134,90,80,330,5-3-0,0,8
7,5920,14,150,105,122,345,4-3-1,0,8
8,1920,11,140,75,78,305,5-3-0,0,8
9,4513,10,160,90,68,335,3-5-0,0,8
10,2147,9,166,45,72,340,3-5-0,0,8
11,2148,9,128,70,67,320,2-5-1,0,8
12,3061,9,120,75,82,335,2-5-1,0,8
13,4980,8,188,105,70,335,3-5-0,0,8
14,2944,4,100,50,53,290,1-7-0,0,8
