Rank,Team,QS,HP,BP,TP,CP,Record (W-L-T),DQ,Played
1,2590,24.00,116.00,10.00,131.00,6,9-2-0,0,11
2,3996,22.00,56.00,100.00,73.00,4,9-2-0,0,11
3,176,21.00,68.00,70.00,89.00,4,8-2-1,0,11
4,2626,21.00,40.00,60.00,118.00,6,7-3-1,0,11
5,3710,20.00,93.00,60.00,74.00,2,9-2-0,0,11
6,3990,20.00,78.00,60.00,61.00,2,9-2-0,0,11
7,3379,19.00,76.00,40.00,61.00,4,7-3-1,0,11
8,1517,17.00,38.00,60.00,35.00,6,5-5-1,0,11
9,3360,16.00,61.00,100.00,102.00,4,6-5-0,0,11
10,3117,16.00,55.00,20.00,65.00,4,6-5-0,0,11
11,3533,16.00,38.00,40.00,53.00,2,7-4-0,0,11
12,3387,16.00,34.00,100.00,57.00,2,7-4-0,0,11
13,3985,16.00,34.00,20.00,43.00,10,3-8-0,0,11
14,3531,15.00,45.00,30.00,46.00,4,5-4-1,1,11
15,3975,15.00,42.00,20.00,39.00,4,5-4-1,1,11
16,173,14.00,52.00,80.00,39.00,0,7-4-0,0,11
17,4062,14.00,50.00,50.00,70.00,2,6-5-0,0,11
18,4167,14.00,48.00,10.00,60.00,2,6-5-0,0,11
19,3530,14.00,46.00,50.00,33.00,0,7-4-0,0,11
20,3978,13.00,55.00,60.00,82.00,0,6-4-1,0,11
21,3550,13.00,25.00,20.00,76.00,6,3-7-1,0,11
22,3983,12.00,49.00,40.00,38.00,4,4-7-0,0,11
23,3980,12.00,43.00,30.00,26.00,2,5-6-0,0,11
24,3979,12.00,32.00,40.00,23.00,6,3-8-0,0,11
25,3544,12.00,22.00,70.00,63.00,2,5-6-0,0,11
26,296,12.00,20.00,70.00,48.00,4,4-7-0,0,11
27,3988,11.00,32.00,50.00,39.00,0,5-5-1,0,11
28,3969,11.00,26.00,50.00,69.00,2,4-6-1,0,11
29,3989,10.00,56.00,20.00,26.00,0,5-6-0,0,11
30,3386,10.00,48.00,60.00,83.00,0,5-6-0,0,11
31,3382,10.00,34.00,30.00,71.00,2,4-6-0,1,11
32,3981,10.00,20.00,50.00,59.00,2,4-7-0,0,11
33,3987,9.00,37.00,10.00,34.00,0,4-6-1,0,11
34,3986,8.00,47.00,20.00,48.00,2,3-8-0,0,11
35,3977,8.00,42.00,30.00,52.00,4,2-9-0,0,11
36,4007,5.00,24.00,10.00,43.00,0,2-8-1,0,11
37,3532,2.00,28.00,10.00,21.00,0,1-10-0,0,11
