Rank,Team,RP,Auto,Scale/Challenge,Goal,Defense,W-L-T,DQ,Played
1,399,24,214,120,233,400,8-0-0,0,8
2,5199,22,227,150,171,430,8-0-0,0,8
3,3255,20,192,110,223,435,5-3-0,0,8
4,3021B,19,204,80,153,390,7-1-0,0,8
5,1572,19,140,135,289,330,6-2-0,0,8
6,5012,17,154,105,193,410,5-3-0,0,8
7,5137,16,162,90,159,410,4-4-0,0,8
8,2984,16,162,75,132,395,5-3-0,0,8
9,968,15,200,100,196,390,5-3-0,0,8
10,3965,15,172,90,145,425,4-4-0,0,8
11,4,14,178,95,142,350,5-3-0,0,8
12,6060,14,146,85,150,355,3-5-0,0,8
13,2485,13,152,85,151,395,3-5-0,0,8
14,3021,13,150,90,228,325,4-4-0,0,8
15,812,12,175,105,137,360,3-5-0,0,8
16,1622,12,174,75,66,355,4-4-0,0,8
17,399B,12,162,95,105,365,3-5-0,0,8
18,3128,11,199,90,173,335,4-4-0,0,8
19,3647,11,152,110,80,370,3-5-0,0,8
20,1266,11,124,115,133,305,4-4-0,0,8
21,2102,11,116,90,137,320,3-5-0,0,8
22,4014,11,106,70,102,315,3-5-0,0,8
23,2543,10,134,75,145,365,2-6-0,0,8
24,4160,10,112,70,101,280,4-4-0,0,8
25,3128B,10,78,50,117,235,4-4-0,0,8
26,4B,9,180,140,143,385,2-6-0,0,8
27,4486,8,148,85,126,375,1-7-0,0,8
28,5805,8,120,75,125,295,3-5-0,0,8
29,1538,8,118,85,197,280,3-5-0,0,8
30,2658,8,66,50,75,315,2-6-0,0,8
