Rank,Team,Ranking Score,Match Points,Auto,Rotor,Takeoff,kPa,Record (W-L-T),DQ,Played
1,340,2.3999999999999999,1459,319,760,550,29,5-0-0,0,5
2,5254,2.2000000000000002,1561,258,700,700,16,5-0-0,0,5
3,291,2.2000000000000002,1260,266,620,500,60,5-0-0,0,5
4,1507,2.2000000000000002,1247,233,580,600,12,5-0-0,0,5
5,6490,1.8,1210,207,600,500,55,4-1-0,0,5
6,1241,1.6000000000000001,1383,375,780,450,13,3-2-0,0,5
7,5406,1.6000000000000001,1350,199,640,550,50,4-1-0,0,5
8,3003,1.6000000000000001,1252,195,600,500,37,4-1-0,0,5
9,4930,1.6000000000000001,1213,270,620,450,88,3-2-0,0,5
10,1360,1.6000000000000001,1204,229,420,650,14,4-1-0,0,5
11,378,1.6000000000000001,1145,295,560,350,0,4-1-0,0,5
12,1126,1.3999999999999999,1169,184,600,450,29,3-2-0,0,5
13,2791,1.3999999999999999,1037,216,520,300,107,3-2-0,0,5
14,191,1.2,1282,213,520,600,37,3-2-0,0,5
15,2340,1.2,1207,313,640,400,22,3-2-0,0,5
16,3799,1.2,968,368,620,250,3,3-2-0,0,5
17,340B,1.2,954,235,500,350,29,3-2-0,0,5
18,4023,1.2,874,129,420,350,29,3-2-0,0,5
19,4039,1,1131,251,580,400,11,2-3-0,0,5
20,3044,1,1124,179,600,400,4,2-3-0,0,5
21,1559,1,1088,244,580,400,28,2-3-0,0,5
22,3015,1,1038,212,500,300,153,2-3-0,0,5
23,610,0.80000000000000004,1270,380,660,450,5,2-3-0,0,5
24,20,0.80000000000000004,1238,312,640,450,8,2-3-0,0,5
25,6868,0.80000000000000004,1152,323,640,350,17,2-3-0,0,5
26,222,0.80000000000000004,1070,254,540,400,10,2-3-0,0,5
27,1285,0.80000000000000004,1052,271,580,350,37,2-3-0,0,5
28,5606,0.80000000000000004,1048,368,620,350,3,2-3-0,0,5
29,2228,0.80000000000000004,989,133,500,400,9,2-3-0,0,5
30,3838,0.80000000000000004,955,245,540,250,0,2-3-0,0,5
31,1405,0.80000000000000004,904,273,540,250,39,2-3-0,0,5
32,639,0.80000000000000004,751,196,440,200,6,2-3-0,0,5
33,3181,0.80000000000000004,744,154,420,200,29,2-3-0,0,5
34,3173,0.59999999999999998,946,296,640,250,11,1-4-0,0,5
35,1518,0.59999999999999998,855,132,380,400,15,1-4-0,0,5
36,5406B,0.40000000000000002,1014,183,560,350,9,1-4-0,0,5
37,5030,0.40000000000000002,999,289,520,400,4,1-4-0,0,5
38,1511,0.40000000000000002,957,242,500,300,2,1-4-0,0,5
39,578,0.40000000000000002,795,187,480,200,25,1-4-0,0,5
40,1585,0.40000000000000002,760,130,420,150,30,1-4-0,0,5
41,3951,0.40000000000000002,585,204,400,100,20,1-4-0,0,5
42,6300,,832,187,480,250,2,0-5-0,0,5
