Rank,Team,Qual Avg,Auto,Container,Coopertition,Litter,Tote,Played
1,2635,76.66,0,344,160,152,288,12
2,3674,67.91,0,376,0,89,350,12
3,2471,62.16,0,244,200,94,238,12
4,3574,60.91,4,192,160,149,256,12
5,4132,58.75,0,132,280,71,234,12
6,1510,54.91,0,220,160,95,196,12
7,2990,54.75,0,196,160,105,226,12
8,4127,54.0,0,148,200,100,230,12
9,2733,51.91,4,160,200,111,166,12
10,2411,50.16,0,124,200,116,180,12
11,955,49.83,4,164,120,116,212,12
12,1425,48.25,4,112,160,89,220,12
13,2192,46.33,0,172,120,100,188,12
14,1540,46.25,0,192,120,71,214,12
15,753,45.41,0,124,0,189,244,12
16,2374,45.08,0,104,240,55,160,12
17,3636,44.66,0,120,160,114,160,12
18,3673,44.08,0,132,40,193,176,12
19,2915,43.33,4,192,0,120,222,12
20,4043,41.66,0,124,80,160,178,12
21,1359,41.33,0,160,80,94,176,12
22,4662,41.25,0,100,160,77,182,12
23,957,40.5,0,88,160,88,174,12
24,1432,40.41,0,52,280,65,108,12
25,847,40.16,0,160,80,124,138,12
26,5468,40.0,0,120,120,92,160,12
27,4110,39.5,0,92,160,72,150,12
28,3131,35.83,0,100,80,76,192,12
29,2002,35.58,0,96,40,121,194,12
30,4051,35.08,4,72,80,133,144,12
31,5198,34.58,0,68,120,115,118,12
32,1571,31.75,0,64,80,77,166,12
33,5497,31.66,0,56,120,54,156,12
