Rank,Team,Wins,Losses,Ties,Played,QS,RS
1,111,10,0,0,10,20.00,25.00
2,2202,10,0,0,10,20.00,22.70
3,1625,9,1,0,10,18.00,33.90
4,2826,8,2,0,10,16.00,21.70
5,1732,8,2,0,10,16.00,19.80
6,234,7,1,1,9,15.00,18.80
7,2062,7,3,0,10,14.00,26.90
8,269,7,3,0,10,14.00,19.60
9,135,7,3,0,10,14.00,15.40
10,1716,7,3,0,10,14.00,13.60
11,2077,6,4,0,10,12.00,19.50
12,2506,6,4,0,10,12.00,19.20
13,1675,6,4,0,10,12.00,17.90
14,1714,6,3,0,9,12.00,17.33
15,171,6,4,0,10,12.00,16.70
16,1306,6,4,0,10,12.00,16.60
17,1103,6,4,0,10,12.00,15.50
18,1781,5,4,1,10,11.00,18.30
19,706,5,5,0,10,10.00,19.80
20,3734,5,5,0,10,10.00,19.40
21,2041,5,5,0,10,10.00,18.70
22,167,5,5,0,10,10.00,18.00
23,3418,5,5,0,10,10.00,15.90
24,1091,5,5,0,10,10.00,7.50
25,930,4,5,1,10,9.00,21.40
26,537,4,4,1,9,9.00,16.10
27,2022,4,5,1,10,9.00,11.90
28,2481,4,5,0,9,8.00,27.55
29,2039,4,5,0,9,8.00,21.11
30,2702,4,6,0,10,8.00,15.20
31,288,4,6,0,10,8.00,14.90
32,1259,4,6,0,10,8.00,14.50
33,3147,4,6,0,10,8.00,13.50
34,1736,4,6,0,10,8.00,13.20
35,3362,4,5,0,9,8.00,12.20
36,3197,3,6,1,10,7.00,18.40
37,1864,3,6,1,10,7.00,14.30
38,216,3,5,1,9,7.00,11.55
39,244,3,5,1,9,7.00,8.90
40,93,3,7,0,10,6.00,17.20
41,868,3,7,0,10,6.00,16.40
42,2704,3,7,0,10,6.00,15.90
43,2194,3,7,0,10,6.00,15.90
44,3381,3,6,0,9,6.00,14.22
45,3692,3,7,0,10,6.00,13.10
46,81,3,6,0,9,6.00,6.50
47,2830,2,7,1,10,5.00,16.30
48,3201,2,7,0,9,4.00,9.50
49,3596,1,8,1,10,3.00,8.70
50,1652,1,7,0,8,2.00,14.44
