Rank,Team,Wins,Losses,Ties,Played,QS,RS
1,118,10,0,0,10,20.00,9.10
2,2936,9,1,0,10,18.00,17.30
3,2587,9,1,0,10,18.00,11.90
4,1477,8,2,0,10,16.00,17.80
5,624,8,2,0,10,16.00,15.70
6,1429,8,2,0,10,16.00,13.30
7,1255,7,1,1,9,15.00,9.40
8,3847,7,3,0,10,14.00,7.10
9,3103,6,3,1,10,13.00,9.00
10,2276,5,2,3,10,13.00,7.00
11,3731,6,3,1,10,13.00,6.60
12,3834,6,3,1,10,13.00,6.40
13,1480,6,3,0,9,12.00,4.10
14,2979,5,3,2,10,12.00,1.00
15,57,5,4,1,10,11.00,13.40
16,231,5,4,1,10,11.00,7.00
17,2882,5,4,1,10,11.00,5.40
18,3758,5,3,1,9,11.00,4.20
19,3713,4,3,3,10,11.00,3.40
20,2969,5,5,0,10,10.00,5.80
21,1817,4,4,2,10,10.00,5.10
22,3726,4,4,2,10,10.00,2.00
23,2582,4,4,2,10,10.00,1.90
24,3335,4,5,1,10,9.00,12.40
25,2583,3,4,3,10,9.00,9.50
26,3696,4,5,1,10,9.00,7.40
27,2881,4,5,1,10,9.00,6.30
28,3728,4,3,1,8,9.00,5.60
29,3320,4,5,0,9,8.00,15.20
30,3016,3,5,2,10,8.00,10.50
31,1513,4,5,0,9,8.00,6.90
32,653,4,6,0,10,8.00,6.80
33,441,4,6,0,10,8.00,5.60
34,3080,3,5,2,10,8.00,5.10
35,3735,3,4,2,9,8.00,5.10
36,2737,3,4,2,9,8.00,4.10
37,434,2,3,4,9,8.00,2.00
38,1801,4,6,0,10,8.00,1.10
39,3012,3,5,1,9,7.00,7.60
40,3741,2,5,3,10,7.00,6.90
41,3762,2,3,3,8,7.00,5.90
42,3833,3,5,1,9,7.00,5.60
43,3363,3,3,1,7,7.00,3.60
44,1865,3,6,1,10,7.00,2.60
45,2585,3,4,1,8,7.00,2.40
46,3823,2,6,2,10,6.00,6.30
47,2613,1,4,4,9,6.00,5.50
48,3727,2,4,1,7,5.00,5.30
49,3526,2,6,1,9,5.00,2.80
50,1898,1,5,2,8,4.00,2.40
51,2072,1,7,1,9,3.00,5.00
52,3353,1,5,0,6,2.00,3.40
53,2956,1,3,0,4,2.00,2.90
54,1484,0,7,1,8,1.00,5.90
