Rank,Team,Ranking Score,Match Points,Auto,Rotor,Takeoff,kPa,Record (W-L-T),DQ,Played
1,195,2.75,1331,261,480,550,211,3-1-0,0,4
2,230,2.5,1329,205,640,550,64,3-1-0,0,4
3,999,2.5,1246,187,560,550,46,4-0-0,0,4
4,3461,2.25,1150,244,580,500,5,4-0-0,0,4
5,2836,2.25,1027,272,500,400,57,4-0-0,0,4
6,181,2,1258,276,580,500,68,3-1-0,0,4
7,2168,2,1186,242,620,500,11,3-1-0,0,4
8,4557,1.75,1014,190,480,400,14,3-1-0,0,4
9,4055,1.75,950,240,540,350,0,3-1-0,0,4
10,1124,1.5,1162,211,520,500,62,2-2-0,0,4
11,2067,1.5,1049,181,480,450,24,3-1-0,0,4
12,155,1.25,1137,231,580,500,2,2-2-0,0,4
13,1099,1.25,1044,124,500,450,4,2-2-0,0,4
14,558,1.25,984,169,560,300,4,2-2-0,0,4
15,236,1,1100,185,520,450,5,2-2-0,0,4
16,3525,1,1085,295,520,350,0,2-2-0,0,4
17,1991,1,1025,180,480,450,10,2-2-0,0,4
18,173,1,1023,123,500,450,8,2-2-0,0,4
19,178,1,968,243,500,350,3,2-2-0,0,4
20,5686,1,965,159,520,350,5,2-2-0,0,4
21,176,1,937,182,520,350,12,2-2-0,0,4
22,3634,1,929,215,460,300,9,2-2-0,0,4
23,1740,1,821,176,440,200,1,2-2-0,0,4
24,6333,0.75,893,183,440,350,48,1-3-0,0,4
25,228,0.5,1042,113,500,450,12,1-3-0,0,4
26,3146,0.5,972,171,520,400,2,1-3-0,0,4
27,3654,0.5,927,57,440,400,2,1-3-0,0,4
28,1699,0.5,890,180,480,350,0,1-3-0,0,4
29,5142,0.5,875,185,520,250,5,1-3-0,0,4
30,177,0.5,845,59,480,300,10,1-3-0,0,4
31,2170,0.5,796,241,500,200,6,1-3-0,0,4
32,2064,0.5,791,110,460,250,1,1-3-0,0,4
33,1071,0.5,790,55,480,250,5,1-3-0,0,4
34,3719,0.5,787,122,500,200,7,1-3-0,0,4
35,237,0.25,1023,128,460,400,53,0-4-0,0,4
