Rank,Team,Wins,Losses,Ties,Played,QS,RS,MP
1,103,8,0,0,8,16.00,36.25,86
2,816,8,0,0,8,16.00,31.50,64
3,2590,8,0,0,8,16.00,27.50,76
4,108,7,1,0,8,14.00,31.00,66
5,25,6,1,1,8,13.00,35.50,100
6,694,6,2,0,8,12.00,34.75,72
7,555,6,2,0,8,12.00,30.25,82
8,2180,6,2,0,8,12.00,29.75,78
9,1089,6,2,0,8,12.00,26.75,60
10,219,6,2,0,8,12.00,26.25,42
11,1689,6,2,0,8,12.00,24.00,58
12,449,6,2,0,8,12.00,23.50,76
13,381,5,2,1,8,11.00,36.75,58
14,104,5,2,1,8,11.00,29.00,86
15,836,5,3,0,8,10.00,37.75,78
16,41,4,2,2,8,10.00,30.75,86
17,896,5,3,0,8,10.00,30.00,52
18,613,5,3,0,8,10.00,28.00,46
19,293,5,3,0,8,10.00,26.00,42
20,87,5,3,0,8,10.00,24.25,56
21,1647,5,3,0,8,10.00,23.00,70
22,2285,5,3,0,8,10.00,22.00,52
23,1923,5,3,0,8,10.00,21.50,82
24,2191,5,3,0,8,10.00,15.25,42
25,1279,4,3,1,8,9.00,27.00,82
26,1807,4,4,0,8,8.00,37.75,100
27,2016,4,4,0,8,8.00,29.75,86
28,303,4,3,0,7,8.00,27.00,44
29,1366,4,4,0,8,8.00,26.00,72
30,1672,4,4,0,8,8.00,25.50,100
31,1811,4,4,0,8,8.00,23.00,60
32,1748,4,4,0,8,8.00,22.00,42
33,1228,4,4,0,8,8.00,21.75,50
34,2495,4,4,0,8,8.00,21.25,70
35,1617,4,4,0,8,8.00,21.25,64
36,486,3,4,1,8,7.00,33.25,58
37,752,3,4,1,8,7.00,27.00,58
38,1048,3,4,1,8,7.00,26.00,50
39,1791,3,4,1,8,7.00,25.25,78
40,136,2,4,2,8,6.00,32.50,76
41,834,3,5,0,8,6.00,29.50,86
42,869,3,5,0,8,6.00,27.00,46
43,1370,3,5,0,8,6.00,25.50,42
44,1676,3,5,0,8,6.00,24.25,66
45,11,3,5,0,8,6.00,24.25,52
46,1563,2,4,2,8,6.00,21.50,50
47,1367,3,5,0,8,6.00,19.75,50
48,1980,2,5,1,8,5.00,28.50,78
49,1616,2,5,1,8,5.00,24.25,50
50,223,2,6,0,8,4.00,34.00,46
51,708,2,6,0,8,4.00,22.50,82
52,714,2,6,0,8,4.00,21.75,42
53,1403,2,6,0,8,4.00,21.25,72
54,1302,2,6,0,8,4.00,19.00,36
55,2458,2,6,0,8,4.00,18.25,28
56,1547,2,6,0,8,4.00,17.00,32
57,1881,2,6,0,8,4.00,10.25,52
58,2600,1,5,1,7,3.00,27.75,50
59,2140,1,6,1,8,3.00,18.00,44
60,204,1,7,0,8,2.00,29.50,42
61,102,1,7,0,8,2.00,24.00,52
62,224,1,7,0,8,2.00,23.25,44
63,75,1,7,0,8,2.00,17.25,42
