Rank,Team,QS,AP,CP,TP,Record (W-L-T),DQ,Played
1,254,18.00,440.00,330.00,456.00,9-1-0,0,10
2,1868,17.00,242.00,220.00,387.00,8-1-1,0,10
3,971,16.00,414.00,200.00,377.00,8-2-0,0,10
4,118,16.00,406.00,160.00,669.00,8-2-0,0,10
5,1662,16.00,352.00,160.00,463.00,8-2-0,0,10
6,233,16.00,290.00,230.00,281.00,8-2-0,0,10
7,649,16.00,252.00,190.00,189.00,8-2-0,0,10
8,192,16.00,214.00,180.00,435.00,8-2-0,0,10
9,2144,14.00,304.00,200.00,300.00,7-3-0,0,10
10,1388,14.00,270.00,350.00,213.00,7-3-0,0,10
11,670,14.00,254.00,160.00,390.00,7-3-0,0,10
12,100,14.00,248.00,190.00,322.00,7-3-0,0,10
13,115,14.00,208.00,220.00,268.00,7-3-0,0,10
14,973,13.00,264.00,180.00,535.00,6-3-1,0,10
15,846,12.00,316.00,140.00,384.00,6-4-0,0,10
16,840,12.00,300.00,150.00,446.00,6-4-0,0,10
17,2489,12.00,296.00,240.00,238.00,6-4-0,0,10
18,4159,12.00,282.00,150.00,370.00,6-4-0,0,10
19,295,12.00,234.00,190.00,259.00,6-4-0,0,10
20,2915,12.00,230.00,160.00,177.00,6-4-0,0,10
21,766,12.00,216.00,210.00,389.00,6-4-0,0,10
22,841,12.00,204.00,180.00,296.00,6-4-0,0,10
23,114,11.00,264.00,220.00,278.00,5-4-1,0,10
24,852,11.00,190.00,120.00,257.00,5-4-1,0,10
25,2085,10.00,246.00,140.00,208.00,5-5-0,0,10
26,3598,10.00,238.00,270.00,273.00,5-5-0,0,10
27,2035,10.00,228.00,180.00,259.00,5-5-0,0,10
28,2813,10.00,192.00,230.00,181.00,5-5-0,0,10
29,148,10.00,190.00,270.00,378.00,5-5-0,0,10
30,675,10.00,188.00,210.00,205.00,5-5-0,0,10
31,4186,10.00,164.00,210.00,255.00,5-5-0,0,10
32,3933,10.00,162.00,220.00,236.00,5-5-0,0,10
33,3995,10.00,148.00,70.00,196.00,5-5-0,0,10
34,2135,10.00,140.00,140.00,201.00,5-5-0,0,10
35,581,8.00,260.00,210.00,218.00,4-6-0,0,10
36,2854,8.00,240.00,110.00,292.00,4-6-0,0,10
37,692,8.00,222.00,150.00,245.00,4-6-0,0,10
38,8,8.00,212.00,120.00,220.00,4-6-0,0,10
39,751,8.00,208.00,170.00,88.00,4-6-0,0,10
40,668,8.00,192.00,140.00,242.00,4-6-0,0,10
41,3256,8.00,186.00,100.00,209.00,4-6-0,0,10
42,1072,8.00,168.00,110.00,269.00,4-6-0,0,10
43,604,8.00,160.00,200.00,233.00,4-6-0,0,10
44,4543,8.00,108.00,170.00,130.00,4-6-0,0,10
45,2367,7.00,222.00,190.00,99.00,3-6-1,0,10
46,4047,7.00,110.00,120.00,281.00,3-6-1,0,10
47,3501,6.00,274.00,180.00,231.00,3-7-0,0,10
48,2643,6.00,238.00,210.00,240.00,3-7-0,0,10
49,1700,6.00,204.00,200.00,191.00,3-7-0,0,10
50,1967,6.00,182.00,180.00,258.00,3-7-0,0,10
51,2761,6.00,178.00,110.00,148.00,3-7-0,0,10
52,4765,6.00,162.00,120.00,254.00,3-7-0,0,10
53,3482,6.00,152.00,80.00,193.00,3-7-0,0,10
54,2473,6.00,134.00,120.00,229.00,3-7-0,0,10
55,256,4.00,206.00,180.00,174.00,2-8-0,0,10
56,3022,4.00,152.00,160.00,184.00,2-8-0,0,10
57,1351,4.00,78.00,180.00,80.00,2-8-0,0,10
58,4255,2.00,132.00,140.00,105.00,1-9-0,0,10
59,4171,2.00,110.00,170.00,107.00,1-9-0,0,10
