Rank,Team,Qual Avg,Auto,Container,Coopertition,Litter,Tote,Played
1,1023,115.25,0,604,120,277,388,12
2,3604,85.66,8,328,240,262,226,12
3,3322,74.16,0,308,280,114,212,12
4,27,66.0,0,236,200,140,222,12
5,3668,63.08,12,192,280,127,176,12
6,835,61.66,0,236,160,128,228,12
7,2612,60.75,18,332,80,49,256,12
8,3539,59.75,0,168,200,87,262,12
9,280,58.75,8,232,120,149,208,12
10,123,56.66,12,236,80,122,236,12
11,1076,52.58,0,228,80,55,268,12
12,469,52.0,0,172,160,108,220,12
13,5685,51.41,12,168,120,105,236,12
14,5577,50.66,0,156,160,140,170,12
15,5498,49.66,0,208,80,154,208,12
16,5257,48.58,0,156,160,103,176,12
17,2611,47.08,10,124,80,163,188,12
18,5688,46.83,0,124,120,136,188,12
19,201,45.16,0,184,120,74,200,12
20,5619,44.5,4,156,80,116,184,12
21,240,43.58,4,180,80,119,146,12
22,5090,43.0,4,168,40,142,174,12
23,2620,42.91,4,140,80,129,180,12
24,5531,42.58,0,104,200,95,136,12
25,5523,42.41,4,140,80,49,242,12
26,5144,41.66,0,108,160,88,150,12
27,5263,40.83,4,180,40,96,176,12
28,5050,39.75,8,160,40,119,174,12
29,5567,38.83,4,124,80,114,168,12
30,2676,38.0,4,132,80,104,160,12
31,815,37.66,8,140,80,68,168,12
32,4390,36.58,0,108,120,75,136,12
33,3542,36.0,0,116,80,48,194,12
34,2832,34.75,14,124,0,99,198,12
35,5068,33.25,0,136,40,93,148,12
36,4395,29.91,4,100,0,85,182,12
37,4405,28.66,4,120,40,66,150,12
38,1941,24.83,0,48,120,70,84,12
39,5756,22.58,0,72,40,35,142,12
