Rank,Team,QS,AP,CP,TP,Record (W-L-T),DQ,Played
1,103,22.00,320.00,180.00,555.00,11-1-0,0,12
2,2590,20.00,452.00,200.00,567.00,10-2-0,0,12
3,3314,20.00,282.00,140.00,298.00,10-2-0,0,12
4,56,18.00,240.00,170.00,375.00,9-3-0,0,12
5,293,16.00,278.00,120.00,484.00,8-4-0,0,12
6,272,16.00,250.00,200.00,383.00,8-4-0,0,12
7,1302,16.00,226.00,90.00,339.00,8-4-0,0,12
8,25,16.00,200.00,210.00,336.00,8-4-0,0,12
9,2016,16.00,186.00,120.00,324.00,8-4-0,0,12
10,303,14.00,182.00,100.00,492.00,7-5-0,0,12
11,1143,14.00,182.00,40.00,315.00,7-5-0,0,12
12,869,14.00,158.00,100.00,228.00,7-5-0,0,12
13,1279,12.00,322.00,110.00,193.00,6-6-0,0,12
14,4281,12.00,240.00,120.00,227.00,6-6-0,0,12
15,219,12.00,224.00,60.00,201.00,6-6-0,0,12
16,102,12.00,202.00,80.00,174.00,6-6-0,0,12
17,224,12.00,194.00,110.00,288.00,6-6-0,0,12
18,1672,12.00,152.00,140.00,372.00,6-6-0,0,12
19,1807,12.00,150.00,110.00,185.00,6-6-0,0,12
20,3142,12.00,148.00,90.00,258.00,6-6-0,0,12
21,4750,12.00,138.00,130.00,254.00,6-6-0,0,12
22,2600,12.00,136.00,80.00,324.00,6-6-0,0,12
23,613,12.00,132.00,60.00,200.00,6-6-0,0,12
24,1370,10.00,216.00,160.00,329.00,5-7-0,0,12
25,1257,10.00,164.00,60.00,208.00,5-7-0,0,12
26,4653,10.00,148.00,130.00,288.00,5-7-0,0,12
27,1089,10.00,146.00,100.00,217.00,5-7-0,0,12
28,3637,10.00,112.00,130.00,160.00,5-7-0,0,12
29,203,10.00,112.00,60.00,200.00,5-6-0,1,12
30,2191,8.00,188.00,100.00,157.00,4-8-0,0,12
31,223,8.00,182.00,90.00,186.00,4-8-0,0,12
32,752,8.00,158.00,90.00,240.00,4-8-0,0,12
33,1881,6.00,206.00,130.00,240.00,3-9-0,0,12
34,4573,6.00,134.00,90.00,178.00,3-9-0,0,12
35,1617,6.00,106.00,120.00,185.00,3-9-0,0,12
36,2495,4.00,106.00,70.00,151.00,2-9-0,1,12
37,3515,4.00,102.00,50.00,194.00,2-10-0,0,12
