Rank,Team,Ranking Score,Match Points,Auto,Rotor,Takeoff,kPa,Record (W-L-T),DQ,Played
1,2495,1.6,1390,310,640,500,0,4-1-0,0,5
2,555,1.6,1320,319,680,500,15,4-1-0,0,5
3,2590,1.6,1306,310,680,500,1,4-1-0,0,5
4,1640,1.6,1200,250,620,500,10,4-1-0,0,5
5,1218,1.6,1191,260,580,500,16,4-1-0,0,5
6,2016,1.6,1162,264,620,450,27,4-1-0,0,5
7,225,1.4,1265,247,520,550,95,3-2-0,0,5
8,806,1.4,993,352,560,300,58,3-2-0,0,5
9,75,1.2,1355,200,640,550,5,3-2-0,0,5
10,2607,1.2,1291,255,660,550,6,3-2-0,0,5
11,1676,1.2,1275,274,620,550,35,3-2-0,0,5
12,1257,1.2,1264,207,600,450,19,3-2-0,0,5
13,219,1.2,1204,252,580,550,4,3-2-0,0,5
14,11,1.2,1163,322,600,450,8,3-2-0,0,5
15,369,1.2,1103,133,540,350,8,3-2-0,0,5
16,5895,1.2,1045,280,540,400,40,3-2-0,0,5
17,4361,1.2,1020,250,540,400,5,3-2-0,0,5
18,5123,1.2,951,115,540,350,16,3-2-0,0,5
19,303,0.8,1267,319,680,500,12,2-3-0,0,5
20,191,0.8,1195,193,640,450,5,2-3-0,0,5
21,1712,0.8,1191,250,620,500,1,2-3-0,0,5
22,1923,0.8,1168,260,660,400,13,2-3-0,0,5
23,4653,0.8,1050,122,580,400,5,2-3-0,0,5
24,3340,0.8,1007,190,520,400,2,2-3-0,0,5
25,4575,0.8,1005,187,520,400,25,2-3-0,0,5
26,193,0.8,941,309,520,350,6,2-3-0,0,5
27,423,0.8,919,250,420,400,4,2-3-0,0,5
28,316,0.6,1149,273,660,350,44,1-4-0,0,5
29,333,0.4,1179,250,620,450,4,1-4-0,0,5
30,4454,0.4,1152,263,540,500,17,1-4-0,0,5
31,1727,0.4,1105,246,580,400,5,1-4-0,0,5
32,484,0.4,1004,131,500,400,4,1-4-0,0,5
33,5420,0.4,958,56,520,350,3,1-4-0,0,5
34,102,0.4,950,200,520,300,25,1-4-0,0,5
