Rank,Team,RP,Match,Auto,Rotor,Touchpad,Pressure,W-L-T,DQ,Played
1,2473,2,1265,250,620,450,0,6-0-0,0,6
2,4186,1.6666666,1509,324,640,700,4,5-1-0,0,6
3,649,1.6666666,1463,438,760,600,3,5-1-0,0,6
4,4904,1.6666666,1396,325,680,600,1,5-1-0,0,6
5,5026,1.6666666,1390,255,740,500,0,5-1-0,0,6
6,100,1.3333334,1429,264,540,750,4,4-2-0,0,6
7,6036,1.3333334,1390,185,680,550,0,4-2-0,0,6
8,1072,1.3333334,1300,245,700,500,0,4-2-0,0,6
9,2813,1.3333334,1235,200,600,500,0,4-2-0,0,6
10,1351,1.3333334,1180,225,660,450,0,4-2-0,0,6
11,1967,1.3333334,1095,325,600,400,0,3-1-2,0,6
12,1868,1.1666666,1402,297,760,550,2,3-2-1,0,6
13,5104,1.1666666,1190,375,740,350,0,3-2-1,0,6
14,766,1.1666666,1103,203,640,350,3,3-2-1,0,6
15,115,1.1666666,1100,240,580,350,0,3-2-1,0,6
16,5027,1,1305,265,620,600,0,3-3-0,0,6
17,751,1,1302,251,580,500,2,3-3-0,0,6
18,846,1,1296,315,720,450,1,3-3-0,0,6
19,199,1,1293,133,580,550,3,3-3-0,0,6
20,670,1,1256,140,580,450,11,3-3-0,0,6
21,1351B,1,1243,303,600,500,3,3-3-0,0,6
22,4765,1,1217,327,600,500,2,3-3-0,0,6
23,2643,0.8333333,1015,245,620,300,0,2-3-1,0,6
24,2489,0.8333333,1000,260,620,250,0,2-3-1,0,6
25,972,0.6666667,1143,128,540,500,3,2-4-0,0,6
26,6688,0.6666667,1096,196,480,400,1,2-4-0,0,6
27,846B,0.6666667,1065,260,580,300,0,2-4-0,0,6
28,3045,0.5,1130,325,560,450,0,1-4-1,0,6
29,4255,0.5,1025,130,500,400,0,1-4-1,0,6
30,6816,0.5,840,180,480,250,0,1-4-1,0,6
31,2551,0.33333334,1135,235,620,450,0,1-5-0,0,6
32,253,0.33333334,1015,190,520,400,0,1-5-0,0,6
33,9026,0.33333334,986,125,540,350,1,1-5-0,0,6
34,2854,0.33333334,781,125,380,300,1,1-5-0,0,6
35,5430,0.16666667,1020,200,520,400,0,0-5-1,0,6
