Rank,Team,QS,ASSIST,AUTO,T&C,TELEOP,Record (W-L-T),DQ,PLAYED
1,1403,22.00,110.00,270.00,70.00,471.00,11-1-0,0,12
2,1923,20.00,110.00,432.00,80.00,372.00,10-2-0,0,12
3,75,18.00,280.00,351.00,70.00,259.00,9-3-0,0,12
4,1676,18.00,280.00,277.00,100.00,246.00,9-3-0,0,12
5,3340,18.00,150.00,261.00,70.00,207.00,9-3-0,0,12
6,102,18.00,120.00,322.00,30.00,213.00,9-3-0,0,12
7,11,16.00,120.00,202.00,70.00,300.00,8-4-0,0,12
8,222,14.00,210.00,521.00,20.00,304.00,7-5-0,0,12
9,193,14.00,210.00,273.00,60.00,214.00,7-5-0,0,12
10,3314,14.00,170.00,323.00,110.00,281.00,7-5-0,0,12
11,555,14.00,170.00,249.00,10.00,316.00,7-5-0,0,12
12,4281,14.00,150.00,293.00,70.00,202.00,7-5-0,0,12
13,4650,14.00,90.00,283.00,40.00,258.00,7-5-0,0,12
14,224,14.00,70.00,246.00,20.00,312.00,7-5-0,0,12
15,56,12.00,250.00,378.00,140.00,167.00,6-6-0,0,12
16,2559,12.00,180.00,412.00,70.00,243.00,6-6-0,0,12
17,4361,12.00,180.00,276.00,70.00,174.00,6-6-0,0,12
18,2577,12.00,140.00,422.00,20.00,116.00,6-6-0,0,12
19,4653,12.00,140.00,267.00,60.00,290.00,6-6-0,0,12
20,1279,12.00,130.00,283.00,80.00,191.00,6-6-0,0,12
21,3637,12.00,120.00,243.00,80.00,161.00,6-6-0,0,12
22,4035,12.00,110.00,267.00,50.00,184.00,6-6-0,0,12
23,1302,10.00,110.00,226.00,50.00,232.00,5-7-0,0,12
24,223,10.00,100.00,272.00,60.00,147.00,5-7-0,0,12
25,1228,10.00,90.00,321.00,70.00,193.00,5-7-0,0,12
26,265,10.00,60.00,282.00,70.00,135.00,5-7-0,0,12
27,2070,10.00,60.00,258.00,40.00,191.00,5-7-0,0,12
28,2554,10.00,60.00,237.00,40.00,135.00,5-7-0,0,12
29,613,10.00,40.00,234.00,40.00,186.00,5-7-0,0,12
30,3142,8.00,90.00,237.00,30.00,286.00,4-8-0,0,12
31,3515,8.00,80.00,251.00,50.00,163.00,4-8-0,0,12
32,219,8.00,70.00,293.00,40.00,197.00,4-8-0,0,12
33,41,8.00,60.00,267.00,20.00,172.00,4-8-0,0,12
34,4285,6.00,110.00,289.00,40.00,43.00,3-9-0,0,12
35,1811,6.00,90.00,245.00,30.00,76.00,3-9-0,0,12
36,1370,6.00,50.00,201.00,40.00,210.00,3-8-0,1,12
37,2458,6.00,40.00,213.00,10.00,165.00,3-9-0,0,12
38,2600,6.00,20.00,247.00,20.00,49.00,3-9-0,0,12
