Rank,Team,QA,Coopertition,Auto,Container,Tote,Litter,DQ,Played
1,1678,127.16,0,200,708,432,186,0,12
2,1671,104.83,0,40,664,410,144,0,12
3,8,81.83,0,40,488,304,150,0,12
4,3859,81,0,0,480,306,192,0,12
5,1662,72.66,0,40,388,324,126,0,12
6,701,70.33,0,20,380,342,108,0,12
7,3250,68.5,0,40,384,260,138,0,12
8,2085,66.33,0,20,376,280,120,0,12
9,5458,64.5,0,20,344,290,120,0,12
10,4643,64,0,40,348,290,90,0,12
11,3189,60.33,0,20,340,268,96,0,12
12,5808,57.83,0,20,344,246,84,0,12
13,1671B,54.16,0,40,276,268,66,0,12
14,2073,54,0,40,240,296,72,0,12
15,751,53.66,0,20,284,268,72,0,12
16,3482,48.5,0,20,228,256,78,0,12
17,2643,45.33,0,20,240,218,66,0,12
18,9250,29,0,20,112,180,36,0,12
