Rank,Team,Ranking Score,Auto,Scale/Challenge,Goals,Defense,Record (W-L-T),Played
1,503,41.0,323.0,240.0,250.0,650.0,12-0-0,12
2,3535,35.0,288.0,155.0,240.0,650.0,9-3-0,12
3,4392,33.0,268.0,150.0,179.0,620.0,9-3-0,12
4,4827,31.0,303.0,145.0,108.0,695.0,10-2-0,12
5,5661,31.0,264.0,140.0,203.0,640.0,9-3-0,12
6,5230,31.0,260.0,145.0,253.0,650.0,10-2-0,12
7,5053,30.0,277.0,145.0,212.0,625.0,8-4-0,12
8,2959,30.0,272.0,190.0,282.0,620.0,8-4-0,12
9,5712,29.0,313.0,140.0,197.0,615.0,8-4-0,12
10,3617,28.0,303.0,200.0,134.0,665.0,8-4-0,12
11,4390,28.0,298.0,140.0,158.0,660.0,8-4-0,12
12,5505,28.0,274.0,150.0,220.0,625.0,7-5-0,12
13,4377,26.0,284.0,185.0,191.0,640.0,7-5-0,12
14,1596,26.0,254.0,155.0,238.0,580.0,7-5-0,12
15,4375,25.0,290.0,140.0,144.0,665.0,7-5-0,12
16,4779,25.0,262.0,160.0,144.0,615.0,6-6-0,12
17,5110,24.0,196.0,160.0,127.0,595.0,7-5-0,12
18,3618,23.0,323.0,130.0,232.0,570.0,7-5-0,12
19,6077,23.0,282.0,140.0,133.0,650.0,6-6-0,12
20,6088,23.0,269.0,150.0,144.0,645.0,6-6-0,12
21,5247,22.0,309.0,145.0,137.0,645.0,6-6-0,12
22,2832,22.0,288.0,150.0,146.0,645.0,5-7-0,12
23,1322,22.0,284.0,185.0,133.0,635.0,6-6-0,12
24,5692,22.0,252.0,170.0,115.0,625.0,5-7-0,12
25,6071,21.0,290.0,130.0,138.0,640.0,6-6-0,12
26,5547,20.0,250.0,145.0,141.0,610.0,5-7-0,12
27,4395,20.0,242.0,165.0,163.0,590.0,4-8-0,12
28,4715,18.0,287.0,145.0,112.0,660.0,3-9-0,12
29,4970,18.0,282.0,120.0,304.0,580.0,5-7-0,12
30,5989,18.0,256.0,165.0,97.0,625.0,3-9-0,12
31,5702,17.0,267.0,130.0,150.0,560.0,5-7-0,12
32,6113,17.0,256.0,140.0,104.0,600.0,4-8-0,12
33,5706,17.0,237.0,155.0,134.0,585.0,4-8-0,12
34,5535,17.0,222.0,140.0,92.0,590.0,4-8-0,12
35,6087,17.0,204.0,150.0,140.0,545.0,3-9-0,12
36,5314,16.0,248.0,125.0,162.0,575.0,4-8-0,12
37,6079,16.0,158.0,135.0,96.0,580.0,3-9-0,12
38,247,14.0,218.0,125.0,143.0,550.0,3-9-0,12
39,5695,10.0,229.0,130.0,138.0,535.0,2-10-0,12
40,2246,10.0,228.0,90.0,113.0,505.0,3-9-0,12
41,5714,9.0,168.0,85.0,83.0,420.0,3-7-0,12
