Rank,Team,Ranking Score,Match Points,Auto,Rotor,Takeoff,kPa,Record (W-L-T),DQ,Played
1,5426,1.6599999999999999,1360,255,620,550,0,5-1-0,0,6
2,1334,1.6599999999999999,1343,263,660,500,3,5-1-0,0,6
3,4914,1.6599999999999999,1120,125,580,450,0,5-1-0,0,6
4,4688,1.3300000000000001,1587,147,700,700,2,4-2-0,0,6
5,5408,1.3300000000000001,1125,255,620,400,0,4-2-0,0,6
6,1075,1.3300000000000001,1120,255,540,400,5,4-2-0,0,6
7,4932,1.3300000000000001,1080,135,500,400,0,4-2-0,0,6
8,1325,1.3300000000000001,1075,375,700,300,0,4-2-0,0,6
9,2834,1,1205,75,520,450,0,3-3-0,0,6
10,5039,1,1050,200,560,350,0,3-3-0,0,6
11,6331,1,815,110,460,300,0,3-2-0,1,6
12,5885,1,747,172,480,200,2,3-2-0,1,6
13,4903,0.66000000000000003,1245,200,640,400,0,2-4-0,0,6
14,6537,0.66000000000000003,1130,135,540,300,0,2-4-0,0,6
15,6544,0.66000000000000003,1100,140,620,250,0,2-4-0,0,6
16,4938,0.66000000000000003,1020,190,560,350,0,2-4-0,0,6
17,4920,0.66000000000000003,950,260,620,250,0,2-4-0,0,6
18,4936,0.66000000000000003,915,130,540,250,0,2-4-0,0,6
19,1374,0.66000000000000003,900,50,360,450,0,2-4-0,0,6
20,6875,0.66000000000000003,878,308,560,100,3,2-3-0,1,6
21,5689,0.66000000000000003,875,105,500,300,0,2-4-0,0,6
22,772,0.33000000000000002,835,190,560,200,0,1-5-0,0,6
23,4814,,0,0,0,0,0,0-0-0,6,6
24,6378,,0,0,0,0,0,0-0-0,6,6
