Rank,Team,QS,AP,CP,TP,Record (W-L-T),DQ,Played
1,2052,14.00,154.00,110.00,329.00,7-1-0,0,8
2,525,14.00,140.00,140.00,255.00,7-1-0,0,8
3,3313,14.00,132.00,100.00,168.00,7-1-0,0,8
4,2502,14.00,130.00,210.00,324.00,7-1-0,0,8
5,3007,14.00,46.00,300.00,100.00,7-1-0,0,8
6,2705,12.00,126.00,240.00,57.00,6-2-0,0,8
7,2518,12.00,116.00,120.00,287.00,6-2-0,0,8
8,3202,12.00,102.00,90.00,117.00,6-2-0,0,8
9,2500,12.00,92.00,130.00,133.00,6-2-0,0,8
10,4549,12.00,52.00,160.00,114.00,6-2-0,0,8
11,3102,10.00,176.00,120.00,293.00,5-3-0,0,8
12,2538,10.00,176.00,70.00,225.00,5-3-0,0,8
13,2181,10.00,124.00,110.00,124.00,5-3-0,0,8
14,3038,10.00,102.00,120.00,114.00,5-3-0,0,8
15,2232,10.00,102.00,80.00,73.00,5-3-0,0,8
16,3292,10.00,100.00,80.00,159.00,5-3-0,0,8
17,2545,10.00,96.00,100.00,190.00,5-3-0,0,8
18,3184,10.00,88.00,110.00,194.00,5-3-0,0,8
19,3299,10.00,88.00,30.00,263.00,5-3-0,0,8
20,2515,10.00,82.00,100.00,71.00,5-3-0,0,8
21,4850,10.00,78.00,40.00,165.00,5-3-0,0,8
22,3018,10.00,76.00,260.00,258.00,5-3-0,0,8
23,3297,10.00,74.00,100.00,131.00,5-3-0,0,8
24,2509,10.00,40.00,180.00,141.00,5-3-0,0,8
25,2823,8.00,152.00,140.00,96.00,4-4-0,0,8
26,2501,8.00,144.00,120.00,80.00,4-4-0,0,8
27,2508,8.00,136.00,70.00,108.00,4-4-0,0,8
28,3630,8.00,128.00,60.00,153.00,4-4-0,0,8
29,3081,8.00,116.00,70.00,87.00,4-4-0,0,8
30,2511,8.00,94.00,110.00,77.00,4-4-0,0,8
31,2227,8.00,86.00,60.00,54.00,4-4-0,0,8
32,3524,8.00,72.00,70.00,93.00,4-4-0,0,8
33,4360,8.00,70.00,150.00,153.00,4-4-0,0,8
34,3407,8.00,70.00,110.00,116.00,4-4-0,0,8
35,2529,8.00,68.00,90.00,181.00,4-4-0,0,8
36,3300,8.00,62.00,70.00,82.00,4-4-0,0,8
37,2846,8.00,60.00,30.00,114.00,4-4-0,0,8
38,4536,8.00,54.00,110.00,101.00,4-4-0,0,8
39,4667,8.00,48.00,90.00,60.00,4-4-0,0,8
40,3082,8.00,42.00,60.00,83.00,4-4-0,0,8
41,2470,6.00,126.00,30.00,52.00,3-5-0,0,8
42,4207,6.00,102.00,70.00,87.00,3-5-0,0,8
43,2450,6.00,86.00,80.00,106.00,3-5-0,0,8
44,3244,6.00,82.00,120.00,85.00,3-5-0,0,8
45,2825,6.00,66.00,70.00,101.00,3-5-0,0,8
46,4229,6.00,62.00,30.00,138.00,3-5-0,0,8
47,3058,6.00,56.00,100.00,134.00,3-5-0,0,8
48,4626,6.00,50.00,90.00,87.00,3-5-0,0,8
49,2479,6.00,48.00,80.00,79.00,3-5-0,0,8
50,4651,6.00,46.00,50.00,77.00,3-4-0,1,8
51,2480,6.00,38.00,40.00,65.00,3-4-0,1,8
52,4859,4.00,82.00,80.00,72.00,2-6-0,0,8
53,3745,4.00,82.00,0,55.00,2-6-0,0,8
54,4664,4.00,70.00,110.00,133.00,2-6-0,0,8
55,2987,4.00,62.00,60.00,106.00,2-5-0,1,8
56,3765,4.00,56.00,90.00,101.00,2-6-0,0,8
57,2535,4.00,52.00,60.00,68.00,2-6-0,0,8
58,3454,4.00,52.00,50.00,77.00,2-6-0,0,8
59,2855,4.00,50.00,100.00,45.00,2-6-0,0,8
60,2498,2.00,84.00,70.00,81.00,1-7-0,0,8
61,2879,2.00,38.00,60.00,85.00,1-7-0,0,8
62,4277,2.00,36.00,80.00,70.00,1-7-0,0,8
63,3100,0,32.00,20.00,95.00,0-8-0,0,8
