Rank,Team,Wins,Losses,Ties,Played,QS,RS,MP
1,103,10,1,0,11,20.00,12.64,132
2,365,8,2,1,11,17.00,13.00,128
3,272,8,3,0,11,16.00,16.00,256
4,1712,8,3,0,11,16.00,12.73,256
5,1143,7,2,2,11,16.00,12.18,116
6,539,8,3,0,11,16.00,11.00,132
7,84,8,3,0,11,16.00,9.91,64
8,1647,7,3,1,11,15.00,16.09,94
9,423,7,3,1,11,15.00,3.64,64
10,571,7,4,0,11,14.00,23.82,128
11,486,7,4,0,11,14.00,23.27,114
12,357,7,4,0,11,14.00,11.18,98
13,433,7,4,0,11,14.00,5.82,98
14,399,6,4,1,11,13.00,15.09,260
15,709,6,4,1,11,13.00,10.91,260
16,816,6,5,0,11,12.00,16.55,99
17,834,6,5,0,11,12.00,15.09,128
18,2053,6,5,0,11,12.00,11.64,128
19,181,5,4,2,11,12.00,11.27,62
20,1791,6,5,0,11,12.00,8.45,62
21,2229,6,5,0,11,12.00,6.73,128
22,222,5,5,1,11,11.00,19.18,94
23,204,5,5,1,11,11.00,6.36,94
24,405,5,6,0,11,10.00,16.73,58
25,316,5,6,0,11,10.00,16.09,84
26,1640,5,6,0,11,10.00,13.64,56
27,381,5,6,0,11,10.00,10.82,84
28,578,5,6,0,11,10.00,10.18,40
29,321,5,6,0,11,10.00,9.64,36
30,708,5,6,0,11,10.00,8.18,62
31,341,5,6,0,11,10.00,7.09,260
32,1394,4,6,1,11,9.00,16.18,92
33,484,4,6,1,11,9.00,13.73,36
34,618,4,7,0,11,8.00,7.73,68
35,563,3,6,2,11,8.00,7.45,46
36,87,4,7,0,11,8.00,6.82,79
37,2223,3,8,0,11,6.00,16.27,132
38,284,3,8,0,11,6.00,8.91,46
39,104,2,8,1,11,5.00,16.00,50
40,304,2,8,1,11,5.00,9.64,55
41,1634,2,8,1,11,5.00,8.82,36
42,422,2,8,1,11,5.00,8.36,256
43,1391,2,8,1,11,5.00,7.09,33
44,444,1,9,0,10,2.00,9.18,79
