Rank,Team,Wins,Losses,Ties,Played,QS,RS,MP
1,971,6,0,2,8,14.00,47.62,122
2,192,6,1,1,8,13.00,43.00,102
3,100,6,2,0,8,12.00,46.50,94
4,604,6,2,0,8,12.00,45.12,82
5,2035,6,2,0,8,12.00,44.25,74
6,987,6,2,0,8,12.00,42.25,104
7,766,6,2,0,8,12.00,40.50,86
8,1120,6,2,0,8,12.00,40.00,62
9,254,6,2,0,8,12.00,38.87,104
10,670,6,2,0,8,12.00,37.75,122
11,359,6,2,0,8,12.00,35.75,87
12,846,6,2,0,8,12.00,34.37,104
13,115,5,2,1,8,11.00,45.25,90
14,1868,5,2,1,8,11.00,43.37,90
15,692,5,2,1,8,11.00,40.25,102
16,2135,5,3,0,8,10.00,43.75,104
17,2813,5,3,0,8,10.00,42.62,74
18,1280,5,3,0,8,10.00,40.62,104
19,2643,5,3,0,8,10.00,38.87,74
20,852,5,3,0,8,10.00,35.87,68
21,8,5,3,0,8,10.00,34.50,102
22,675,4,3,1,8,9.00,38.00,102
23,114,4,4,0,8,8.00,41.62,122
24,1458,4,4,0,8,8.00,37.00,62
25,668,3,3,2,8,8.00,34.25,86
26,3022,4,4,0,8,8.00,33.50,86
27,3013,4,4,0,8,8.00,33.25,80
28,581,3,4,1,8,7.00,45.75,70
29,2159,3,4,1,8,7.00,41.25,76
30,2473,3,4,1,8,7.00,39.25,70
31,649,3,5,0,8,6.00,42.87,66
32,2489,3,4,0,7,6.00,42.00,82
33,1351,3,5,0,8,6.00,36.25,64
34,1516,2,5,1,8,5.00,45.75,70
35,253,2,6,0,8,4.00,43.25,70
36,1967,2,6,0,8,4.00,41.50,65
37,3045,2,6,0,8,4.00,41.00,70
38,256,2,6,0,8,4.00,39.00,80
39,1834,1,5,2,8,4.00,39.00,70
40,2367,2,6,0,8,4.00,35.25,66
41,840,2,6,0,8,4.00,33.75,86
42,2144,2,6,0,8,4.00,31.75,86
43,2141,1,6,1,8,3.00,34.62,56
44,1700,1,6,1,8,3.00,30.00,60
45,1641,1,7,0,8,2.00,36.50,65
46,841,1,7,0,8,2.00,36.00,62
47,2628,0,7,1,8,1.00,30.50,48
