Rank,Team,Ranking Score,Auto,Scale/Challenge,Goals,Defense,Record (W-L-T),Played
1,1501,43.0,422.0,300.0,583.0,695.0,11-1-0,12
2,4103,41.0,361.0,285.0,521.0,745.0,10-2-0,12
3,868,40.0,429.0,165.0,614.0,705.0,10-2-0,12
4,45,40.0,330.0,205.0,549.0,680.0,9-3-0,12
5,71,38.0,332.0,315.0,399.0,715.0,8-4-0,12
6,1024,37.0,361.0,205.0,632.0,675.0,8-4-0,12
7,1747,36.0,375.0,210.0,512.0,685.0,8-4-0,12
8,461,35.0,338.0,205.0,575.0,680.0,7-5-0,12
9,2171,35.0,317.0,200.0,456.0,705.0,7-5-0,12
10,3940,34.0,326.0,215.0,397.0,700.0,7-5-0,12
11,2197,34.0,298.0,340.0,414.0,670.0,6-6-0,12
12,4982,33.0,358.0,210.0,454.0,700.0,6-6-0,12
13,292,33.0,353.0,215.0,461.0,730.0,6-6-0,12
14,135,32.0,356.0,250.0,593.0,695.0,6-6-0,12
15,234,31.0,388.0,240.0,522.0,705.0,6-6-0,12
16,3147,31.0,324.0,290.0,321.0,720.0,6-6-0,12
17,1529,30.0,325.0,195.0,427.0,705.0,6-6-0,12
18,5484,30.0,312.0,165.0,470.0,680.0,7-5-0,12
19,829,29.0,301.0,205.0,372.0,700.0,4-8-0,12
20,4580,28.0,342.0,200.0,344.0,730.0,5-7-0,12
21,1018,28.0,312.0,180.0,424.0,665.0,4-8-0,12
22,1720,28.0,282.0,190.0,423.0,650.0,5-7-0,12
23,447,27.0,341.0,200.0,495.0,710.0,4-8-0,12
24,5403,27.0,330.0,200.0,418.0,730.0,3-9-0,12
25,3559,26.0,336.0,190.0,387.0,695.0,4-8-0,12
26,3176,25.0,314.0,270.0,305.0,720.0,4-8-0,12
27,6012,25.0,306.0,185.0,307.0,725.0,5-7-0,12
28,3180,24.0,343.0,200.0,336.0,725.0,4-8-0,12
29,5944,24.0,300.0,210.0,395.0,670.0,4-8-0,12
30,1741,24.0,293.0,185.0,372.0,695.0,3-9-0,12
31,3936,24.0,284.0,200.0,379.0,700.0,3-9-0,12
