Rank,Team,QS,AP,CP,TP,Record (W-L-T),DQ,Played
1,1334,22.00,314.00,290.00,553.00,11-1-0,0,12
2,4001,20.00,264.00,240.00,429.00,10-2-0,0,12
3,4334,18.00,290.00,160.00,509.00,9-3-0,0,12
4,288,17.00,174.00,120.00,212.00,8-3-1,0,12
5,216,16.00,274.00,170.00,348.00,8-4-0,0,12
6,1305,16.00,248.00,200.00,346.00,8-4-0,0,12
7,4733,16.00,122.00,160.00,202.00,8-4-0,0,12
8,244,15.00,210.00,100.00,240.00,7-4-1,0,12
9,1772,14.00,176.00,170.00,301.00,7-5-0,0,12
10,1482,14.00,170.00,170.00,293.00,7-5-0,0,12
11,4751,14.00,74.00,90.00,108.00,7-5-0,0,12
12,4627,12.00,124.00,130.00,148.00,6-6-0,0,12
13,4205,12.00,112.00,230.00,128.00,6-6-0,0,12
14,4606,12.00,112.00,170.00,230.00,5-5-2,0,12
15,4625,12.00,100.00,130.00,164.00,6-6-0,0,12
16,4591,11.00,116.00,100.00,161.00,5-6-1,0,12
17,3354,10.00,102.00,80.00,181.00,5-7-0,0,12
18,3278,10.00,78.00,160.00,163.00,5-7-0,0,12
19,4771,9.00,114.00,70.00,171.00,4-6-1,1,12
20,1691,9.00,92.00,100.00,134.00,4-7-1,0,12
21,1870,8.00,112.00,110.00,136.00,3-7-2,0,12
22,771,8.00,110.00,150.00,162.00,4-8-0,0,12
23,4719,8.00,106.00,130.00,87.00,4-8-0,0,12
24,4633,8.00,104.00,80.00,145.00,4-8-0,0,12
25,3527,8.00,68.00,100.00,117.00,4-8-0,0,12
26,4720,7.00,104.00,90.00,177.00,3-8-1,0,12
27,4604,7.00,92.00,140.00,144.00,3-8-1,0,12
28,4634,7.00,68.00,50.00,111.00,3-6-1,2,12
29,4497,6.00,110.00,80.00,253.00,3-9-0,0,12
