Rank,Team,Ranking Score,End Game,Auto,Ownership,Vault,Record (W-L-T),DQ,Played
1,4917,3,525,297,1718,170,5-2-0,0,7
2,2013,2.85,525,255,1888,190,6-1-0,0,7
3,2056,2.85,515,295,1836,195,5-2-0,0,7
4,1114,2.85,505,268,1645,165,6-1-0,0,7
5,1241,2.85,405,298,1805,210,6-1-0,0,7
6,4678,2.42,380,249,1915,195,6-1-0,0,7
7,2852,2.28,510,196,1287,180,4-3-0,0,7
8,3683,2.28,425,291,1579,180,5-2-0,0,7
9,4069,2.14,430,233,1563,185,4-3-0,0,7
10,7623,2,355,333,1515,140,3-4-0,0,7
11,4618,2,355,255,1518,180,4-3-0,0,7
12,2702,2,350,267,1428,145,4-3-0,0,7
13,3161,1.85,465,261,1539,185,3-4-0,0,7
14,1360,1.85,445,231,1438,135,3-4-0,0,7
15,1325,1.85,410,267,1340,200,3-4-0,0,7
16,5039,1.85,360,195,1275,130,4-3-0,0,7
17,865,1.85,300,253,1328,120,4-3-0,0,7
18,6336,1.85,270,233,1487,205,5-2-0,0,7
19,3015,1.71,355,308,1567,170,3-4-0,0,7
20,4308,1.71,315,216,1107,170,3-4-0,0,7
21,6878,1.57,340,259,1361,160,3-4-0,0,7
22,2604,1.57,325,220,1339,140,3-4-0,0,7
23,6342,1.42,360,214,1057,175,2-5-0,0,7
24,7475,1.42,265,210,973,135,3-4-0,0,7
25,6378,1.42,265,206,1325,165,3-4-0,0,7
26,7509,1.42,240,251,1216,155,2-5-0,0,7
27,1285,1.28,295,251,1245,170,2-5-0,0,7
28,4343,1.14,430,212,1064,155,1-6-0,0,7
29,2609,1.14,310,205,1242,210,2-5-0,0,7
30,3739,1.14,300,188,1075,115,2-5-0,0,7
31,5719,1.14,280,239,1333,130,2-5-0,0,7
32,1075,1.14,270,235,1073,165,1-6-0,0,7
