Rank,Team,QS,AP,CP,TP,Record (W-L-T),DQ,Played
1,1635,14.00,154.00,60.00,198.00,7-1-0,0,8
2,4571,14.00,128.00,90.00,140.00,7-0-0,1,8
3,1155,14.00,96.00,150.00,40.00,7-1-0,0,8
4,771,14.00,56.00,140.00,176.00,7-1-0,0,8
5,694,14.00,46.00,160.00,237.00,7-1-0,0,8
6,334,13.00,152.00,110.00,199.00,6-1-1,0,8
7,810,12.00,110.00,90.00,187.00,6-2-0,0,8
8,3171,12.00,74.00,120.00,101.00,6-2-0,0,8
9,3059,12.00,66.00,210.00,88.00,6-2-0,0,8
10,2601,12.00,56.00,100.00,155.00,6-2-0,0,8
11,333,12.00,42.00,120.00,103.00,6-2-0,0,8
12,4797,11.00,62.00,170.00,121.00,5-2-1,0,8
13,999,11.00,40.00,110.00,25.00,5-2-1,0,8
14,3137,10.00,136.00,180.00,140.00,5-3-0,0,8
15,3017,10.00,128.00,70.00,87.00,5-3-0,0,8
16,4191,10.00,116.00,40.00,155.00,5-3-0,0,8
17,1382,10.00,78.00,130.00,108.00,5-3-0,0,8
18,4012,10.00,78.00,60.00,108.00,5-3-0,0,8
19,759,10.00,60.00,140.00,71.00,5-3-0,0,8
20,4383,10.00,54.00,120.00,58.00,5-3-0,0,8
21,884,10.00,40.00,150.00,69.00,5-3-0,0,8
22,2579,10.00,18.00,90.00,36.00,5-2-0,1,8
23,4640,9.00,98.00,80.00,119.00,4-3-1,0,8
24,522,9.00,38.00,230.00,40.00,4-3-1,0,8
25,375,8.00,156.00,70.00,148.00,4-4-0,0,8
26,1660,8.00,142.00,90.00,203.00,4-4-0,0,8
27,2344,8.00,94.00,150.00,151.00,4-4-0,0,8
28,514,8.00,90.00,100.00,174.00,4-4-0,0,8
29,3760,8.00,86.00,60.00,49.00,4-4-0,0,8
30,3419,8.00,72.00,110.00,159.00,4-4-0,0,8
31,1340,8.00,66.00,150.00,87.00,4-4-0,0,8
32,1600,8.00,66.00,60.00,112.00,4-4-0,0,8
33,4684,8.00,56.00,100.00,94.00,4-4-0,0,8
34,2265,8.00,56.00,100.00,79.00,4-4-0,0,8
35,421,8.00,50.00,110.00,58.00,4-4-0,0,8
36,4299,8.00,46.00,120.00,48.00,4-4-0,0,8
37,1880,8.00,44.00,40.00,105.00,4-4-0,0,8
38,1796,8.00,38.00,80.00,110.00,4-4-0,0,8
39,806,8.00,20.00,120.00,99.00,4-4-0,0,8
40,4789,7.00,30.00,50.00,66.00,3-4-1,0,8
41,4122,6.00,116.00,60.00,78.00,3-5-0,0,8
42,4528,6.00,66.00,30.00,42.00,3-5-0,0,8
43,3314,6.00,64.00,60.00,83.00,3-5-0,0,8
44,395,6.00,62.00,50.00,94.00,3-5-0,0,8
45,3004,6.00,50.00,100.00,88.00,3-3-0,2,8
46,3204,6.00,46.00,70.00,95.00,3-4-0,1,8
47,237,6.00,32.00,90.00,109.00,3-5-0,0,8
48,354,6.00,24.00,130.00,76.00,3-4-0,1,8
49,369,4.00,80.00,100.00,180.00,2-6-0,0,8
50,353,4.00,72.00,80.00,200.00,2-6-0,0,8
51,4108,4.00,72.00,30.00,68.00,2-5-0,1,8
52,640,4.00,54.00,80.00,59.00,2-6-0,0,8
53,4263,4.00,50.00,90.00,98.00,2-6-0,0,8
54,743,4.00,50.00,50.00,76.00,2-5-0,1,8
55,3053,4.00,44.00,100.00,104.00,2-6-0,0,8
56,1396,4.00,34.00,160.00,30.00,2-6-0,0,8
57,271,4.00,34.00,60.00,62.00,2-6-0,0,8
58,1230,2.00,92.00,100.00,60.00,1-7-0,0,8
59,2933,2.00,64.00,30.00,74.00,1-3-0,4,8
60,4773,2.00,44.00,60.00,70.00,1-7-0,0,8
61,371,2.00,42.00,50.00,57.00,1-6-0,1,8
62,2895,2.00,22.00,20.00,102.00,1-6-0,1,8
63,4713,2.00,12.00,40.00,27.00,1-5-0,2,8
