Rank,Team,Wins,Losses,Ties,Played,QS,RS,MP
1,1912,9,2,0,11,18.00,11.09,64
2,118,9,2,0,11,18.00,5.36,44
3,2182,8,2,1,11,17.00,15.82,64
4,2242,8,3,0,11,16.00,13.91,94
5,1421,8,3,0,11,16.00,12.18,94
6,2176,8,3,0,11,16.00,5.91,36
7,701,7,3,1,11,15.00,13.82,94
8,1920,7,3,1,11,15.00,2.55,40
9,231,7,4,0,11,14.00,15.64,64
10,1429,7,4,0,11,14.00,15.18,64
11,1913,7,4,0,11,14.00,11.45,62
12,1859,7,4,0,11,14.00,10.82,47
13,364,7,4,0,11,14.00,10.45,64
14,2190,7,3,0,10,14.00,6.60,52
15,2078,6,5,0,11,12.00,12.55,47
16,2173,6,5,0,11,12.00,7.27,38
17,590,6,5,0,11,12.00,6.18,38
18,2060,6,5,0,11,12.00,3.82,40
19,34,5,5,1,11,11.00,8.55,52
20,2065,5,5,1,11,11.00,5.64,44
21,1858,5,6,0,11,10.00,7.27,49
22,647,4,6,1,11,9.00,7.82,47
23,2221,4,6,1,11,9.00,7.36,38
24,456,4,7,0,11,8.00,18.18,49
25,357,4,7,0,11,8.00,16.73,45
26,2080,4,7,0,11,8.00,11.36,64
27,462,4,6,0,10,8.00,10.00,64
28,442,4,7,0,11,8.00,8.45,60
29,1927,3,7,1,11,7.00,17.64,64
30,2206,3,7,1,11,7.00,9.55,32
31,1818,3,7,1,11,7.00,5.09,46
32,348,3,7,1,11,7.00,1.64,30
33,2091,3,8,0,11,6.00,15.91,64
34,1683,3,8,0,11,6.00,14.45,49
35,1304,3,8,0,11,6.00,8.18,60
36,1550,2,8,1,11,5.00,6.00,32
37,2183,2,9,0,11,4.00,13.00,45
