Rank,Team,Ranking Score,End Game,Auto,Ownership,Vault,Record (W-L-T),DQ,Played
1,3647,1.85,90,0,1985,15,6-1-0,0,7
2,1197,1.71,90,15,2001,15,5-2-0,0,7
3,3476,1.57,0,15,2185,0,5-2-0,0,7
4,3309,1.42,180,0,1758,30,4-3-0,0,7
5,4322,1.28,90,30,1528,15,3-4-0,0,7
6,2710,1.14,90,15,1812,15,3-4-0,0,7
7,5810,1.14,0,0,1894,0,4-3-0,0,7
8,5851,1.14,0,0,1695,0,4-3-0,0,7
9,3473,1,90,0,1888,15,3-4-0,0,7
10,3128,1,90,0,1634,15,3-4-0,0,7
11,4984,1,0,15,1762,0,3-4-0,0,7
12,5805,1,0,15,1671,0,3-4-0,0,7
13,4056,1,0,15,1635,0,3-4-0,0,7
14,4123,0.85,0,0,1622,0,3-4-0,0,7
15,2496,0.71,90,0,1589,15,2-5-0,0,7
16,691,0.71,0,15,1543,0,2-5-0,0,7
