Rank,Team,Ranking Score,End Game,Auto,Ownership,Vault,Record (W-L-T),DQ,Played
1,3604,2.5800000000000001,775,407,3212,375,10-2-0,0,12
2,9989,2.4100000000000001,690,401,3201,335,10-2-0,0,12
3,5050,2.3300000000000001,725,433,2946,355,9-3-0,0,12
4,862,2.25,605,440,2874,340,9-3-0,0,12
5,2620,2.0800000000000001,790,369,2284,300,6-6-0,0,12
6,9986,2,625,318,2554,290,8-4-0,0,12
7,503,1.9099999999999999,750,403,2512,255,7-5-0,0,12
8,4130,1.9099999999999999,625,308,2459,315,7-5-0,0,12
9,2832,1.9099999999999999,615,352,2283,335,7-5-0,0,12
10,9990,1.9099999999999999,560,344,2604,305,7-5-0,0,12
11,5502,1.8300000000000001,730,311,2589,270,8-4-0,0,12
12,1732,1.8300000000000001,670,333,2358,330,7-5-0,0,12
13,548,1.8300000000000001,665,338,2437,320,7-5-0,0,12
14,4390,1.75,560,306,1978,305,8-4-0,0,12
15,51,1.75,540,350,2298,275,7-5-0,0,12
16,9987,1.75,390,306,2226,265,8-4-0,0,12
17,33,1.6599999999999999,720,397,2589,290,6-6-0,0,12
18,1481,1.6599999999999999,550,292,2460,300,7-5-0,0,12
19,280,1.5,580,297,2445,370,6-6-0,0,12
20,6618,1.5,535,374,2253,415,4-8-0,0,12
21,5530,1.5,515,306,2071,300,6-6-0,0,12
22,6861,1.5,495,386,2307,305,4-8-0,0,12
23,4405,1.4099999999999999,545,360,2120,225,5-7-0,0,12
24,5090,1.4099999999999999,530,326,2401,290,5-7-0,0,12
25,5907,1.4099999999999999,300,284,2545,270,6-6-0,0,12
26,6914,1.3300000000000001,605,325,2136,465,5-7-0,0,12
27,313,1.25,550,298,1905,315,5-7-0,0,12
28,5498,1.1599999999999999,440,284,1993,290,4-8-0,0,12
29,7178,1.0800000000000001,445,258,1993,280,5-7-0,0,12
30,308,1,440,292,2012,310,3-9-0,0,12
31,9988,0.91000000000000003,435,353,2031,275,3-9-0,0,12
32,5577,0.57999999999999996,430,274,1787,220,2-10-0,0,12
33,9985,0.5,495,247,1730,170,3-9-0,0,12
34,815,0,470,163,1373,275,0-12-0,0,12
