Rank,Team,Wins,Losses,Ties,Played,QS,RS
1,330,10,0,0,10,20.00,21.60
2,1197,9,1,0,10,18.00,14.20
3,1717,8,1,1,10,17.00,22.10
4,599,8,2,0,10,16.00,28.50
5,968,8,2,0,10,16.00,27.70
6,973,8,2,0,10,16.00,25.80
7,3512,7,2,1,10,15.00,24.10
8,294,7,3,0,10,14.00,35.40
9,2496,7,3,0,10,14.00,14.10
10,2919,7,2,0,9,14.00,9.10
11,399,6,4,0,10,12.00,22.70
12,696,6,4,0,10,12.00,19.30
13,848,6,3,0,9,12.00,17.00
14,2272,6,4,0,10,12.00,16.00
15,980,6,4,0,10,12.00,14.80
16,589,6,4,0,10,12.00,14.10
17,207,5,3,2,10,12.00,12.60
18,702,6,4,0,10,12.00,11.60
19,3473,6,4,0,10,12.00,11.40
20,3851,5,3,2,10,12.00,11.20
21,2637,5,4,1,10,11.00,29.20
22,981,5,4,1,10,11.00,17.60
23,597,5,4,1,10,11.00,16.00
24,2576,5,4,1,10,11.00,9.00
25,3027,5,3,1,9,11.00,7.10
26,1160,5,5,0,10,10.00,24.30
27,2085,5,5,0,10,10.00,17.50
28,691,5,5,0,10,10.00,15.70
29,3128,4,4,2,10,10.00,15.50
30,1138,5,5,0,10,10.00,15.50
31,687,5,4,0,9,10.00,15.40
32,2659,5,5,0,10,10.00,9.90
33,1644,5,4,0,9,10.00,9.00
34,3677,5,4,0,9,10.00,8.10
35,3303,4,4,2,10,10.00,6.60
36,3752,4,4,2,10,10.00,4.40
37,580,3,4,3,10,9.00,19.70
38,1836,4,5,1,10,9.00,11.00
39,1692,4,4,1,9,9.00,8.80
40,995,4,4,1,9,9.00,8.40
41,2339,4,6,0,10,8.00,14.60
42,3309,4,6,0,10,8.00,14.10
43,2429,3,5,2,10,8.00,13.90
44,2584,4,5,0,9,8.00,12.10
45,3328,4,6,0,10,8.00,10.90
46,4,3,5,2,10,8.00,9.80
47,606,3,2,2,7,8.00,6.30
48,3863,3,6,1,10,7.00,19.70
49,3271,3,4,1,8,7.00,17.10
50,3408,3,6,1,10,7.00,16.20
51,3521,3,6,1,10,7.00,5.00
52,1438,2,5,2,9,6.00,11.40
53,1759,3,7,0,10,6.00,9.80
54,1148,2,6,1,9,5.00,10.80
55,1047,2,7,1,10,5.00,10.00
56,3120,2,5,1,8,5.00,3.30
57,867,1,7,2,10,4.00,8.10
58,2404,1,3,2,6,4.00,1.50
59,3295,1,8,1,10,3.00,9.60
60,362,1,7,1,9,3.00,9.10
61,1515,1,9,0,10,2.00,19.50
62,3759,1,8,0,9,2.00,14.00
63,1702,1,2,0,3,2.00,1.60
