Rank,Team,Wins,Losses,Ties,Played,QS,RS
1,2984,11,0,0,11,22.00,28.00
2,1572,10,1,0,11,20.00,25.54
3,987,9,1,0,10,18.00,24.40
4,3009,9,2,0,11,18.00,21.18
5,3019,8,3,0,11,16.00,24.00
6,2637,8,3,0,11,16.00,20.36
7,2429,7,3,1,11,15.00,17.54
8,359,7,3,0,10,14.00,34.09
9,2485,7,3,0,10,14.00,22.90
10,1197,7,3,0,10,14.00,13.00
11,3155,7,3,0,10,14.00,7.81
12,3128,5,5,1,11,11.00,20.45
13,4,5,5,1,11,11.00,7.45
14,1726,5,6,0,11,10.00,19.63
15,2403,5,4,0,9,10.00,18.20
16,166,5,5,0,10,10.00,17.00
17,1631,5,4,0,9,10.00,15.50
18,2057,5,5,0,10,10.00,14.81
19,1669,5,5,0,10,10.00,12.90
20,1158,5,3,0,8,10.00,9.45
21,991,4,7,0,11,8.00,21.90
22,988,4,7,0,11,8.00,20.27
23,1703,4,4,0,8,8.00,14.81
24,2102,4,7,0,11,8.00,14.72
25,1780,4,7,0,11,8.00,13.09
26,60,3,4,2,9,8.00,11.36
27,2520,4,5,0,9,8.00,8.81
28,1661,3,7,1,11,7.00,14.18
29,3341,3,7,1,11,7.00,9.54
30,1266,3,8,0,11,6.00,16.09
31,2496,3,7,0,10,6.00,14.00
32,1011,3,6,0,9,6.00,13.09
33,955,3,7,0,10,6.00,10.27
34,3011,2,5,2,9,6.00,9.54
35,585,2,7,1,10,5.00,11.36
36,1457,2,7,1,10,5.00,8.40
37,2174,2,5,1,8,5.00,6.81
38,3453,2,7,0,9,4.00,12.63
39,3569,2,7,0,9,4.00,12.40
