Rank,Team,QS,AP,CP,TP,Record (W-L-T),DQ,Played
1,3753,20.00,166.00,190.00,399.00,10-0-0,0,10
2,155,20.00,128.00,270.00,207.00,10-0-0,0,10
3,3606,18.00,66.00,430.00,94.00,9-1-0,0,10
4,3847,17.00,142.00,220.00,283.00,8-1-1,0,10
5,118,16.00,350.00,120.00,622.00,8-2-0,0,10
6,364,16.00,214.00,240.00,338.00,8-2-0,0,10
7,1477,16.00,124.00,210.00,336.00,8-2-0,0,10
8,2992,16.00,100.00,300.00,170.00,8-2-0,0,10
9,456,15.00,214.00,230.00,227.00,7-2-1,0,10
10,3410,14.00,242.00,130.00,325.00,7-3-0,0,10
11,2352,14.00,210.00,130.00,311.00,7-3-0,0,10
12,2080,14.00,152.00,240.00,171.00,7-3-0,0,10
13,4805,14.00,102.00,170.00,157.00,7-3-0,0,10
14,1927,13.00,222.00,220.00,152.00,6-3-1,0,10
15,3937,12.00,230.00,190.00,158.00,6-4-0,0,10
16,1421,12.00,152.00,380.00,310.00,6-4-0,0,10
17,233,12.00,148.00,190.00,145.00,6-4-0,0,10
18,1758,12.00,146.00,210.00,157.00,6-4-0,0,10
19,3991,12.00,114.00,160.00,236.00,6-4-0,0,10
20,3946,12.00,104.00,160.00,242.00,6-4-0,0,10
21,4336,12.00,46.00,230.00,195.00,6-4-0,0,10
22,3468,11.00,92.00,230.00,119.00,5-4-1,0,10
23,1649,10.00,168.00,150.00,489.00,5-5-0,0,10
24,2242,10.00,148.00,150.00,234.00,5-5-0,0,10
25,4113,10.00,148.00,140.00,258.00,5-5-0,0,10
26,3616,10.00,142.00,220.00,193.00,5-5-0,0,10
27,4668,10.00,100.00,150.00,204.00,5-5-0,0,10
28,3164,10.00,76.00,380.00,99.00,5-5-0,0,10
29,4832,9.00,82.00,80.00,126.00,4-4-1,1,10
30,3039,8.00,194.00,160.00,228.00,4-6-0,0,10
31,1912,8.00,138.00,180.00,176.00,4-6-0,0,10
32,4087,8.00,122.00,140.00,126.00,4-5-0,1,10
33,1818,8.00,106.00,100.00,152.00,4-6-0,0,10
34,2221,8.00,104.00,200.00,129.00,4-6-0,0,10
35,442,8.00,104.00,110.00,207.00,4-6-0,0,10
36,2183,8.00,96.00,170.00,221.00,4-6-0,0,10
37,4179,8.00,64.00,100.00,130.00,4-6-0,0,10
38,4770,7.00,102.00,120.00,168.00,3-6-1,0,10
39,2078,7.00,90.00,160.00,149.00,3-6-1,0,10
40,2091,7.00,72.00,80.00,148.00,3-5-1,1,10
41,4353,6.00,124.00,140.00,270.00,3-7-0,0,10
42,4516,6.00,116.00,130.00,108.00,3-7-0,0,10
43,2973,6.00,106.00,250.00,129.00,3-7-0,0,10
44,4316,6.00,106.00,130.00,179.00,3-7-0,0,10
45,3782,6.00,104.00,150.00,127.00,3-7-0,0,10
46,3783,5.00,92.00,140.00,146.00,2-7-1,0,10
47,4107,5.00,84.00,270.00,148.00,2-7-1,0,10
48,4589,4.00,114.00,130.00,161.00,2-8-0,0,10
49,3469,4.00,88.00,90.00,155.00,2-8-0,0,10
50,4209,4.00,76.00,180.00,81.00,2-8-0,0,10
51,3337,4.00,74.00,150.00,128.00,1-7-2,0,10
52,4136,4.00,64.00,140.00,87.00,2-8-0,0,10
53,4053,4.00,62.00,150.00,87.00,2-8-0,0,10
54,1304,2.00,56.00,110.00,147.00,1-9-0,0,10
