Rank,Team,Wins,Losses,Ties,Played,QS,RS
1,2337,11,1,0,12,22,26.83
2,217,10,2,0,12,20,22.83
3,3539,9,3,0,12,18,30.83
4,469,9,2,0,11,18,23.16
5,245,9,3,0,12,18,22
6,33,9,2,0,11,18,19.16
7,1718,9,3,0,12,18,17.66
8,226,8,4,0,12,16,29.16
9,910,8,3,0,11,16,26.25
10,3302,8,4,0,12,16,22.25
11,68,7,5,0,12,14,27.83
12,503,6,5,0,11,12,22.08
13,322,6,5,0,11,12,16.91
14,2851,6,6,0,12,12,15.58
15,440,6,4,0,10,12,13.5
16,3548,6,6,0,12,12,11.33
17,2586,5,5,1,11,11,13.5
18,703,5,7,0,12,10,23.33
19,1188,5,7,0,12,10,22.41
20,3657,5,7,0,12,10,20
21,2960,5,7,0,12,10,20
22,3621,5,7,0,12,10,20
23,3115,5,7,0,12,10,17.83
24,3538,5,6,0,11,10,17.25
25,519,5,6,0,11,10,14.41
26,3450,5,5,0,10,10,14.33
27,2048,5,6,0,11,10,13.91
28,288,5,7,0,12,10,11.83
29,3069,5,7,0,12,10,11.25
30,2604,5,7,0,12,10,9.41
31,903,4,6,1,11,9,15.5
32,314,4,8,0,12,8,24.5
33,3421,4,8,0,12,8,15.33
34,2591,4,8,0,12,8,15.25
35,468,3,8,1,12,7,14.08
36,244,3,6,1,10,7,10.58
37,216,3,9,0,12,6,22.83
38,3767,3,9,0,12,6,11.33
39,3534,2,9,1,12,5,19.75
40,3619,1,10,0,11,2,12.16
