Rank,Team,Wins,Losses,Ties,Played,QS,RS
1,1676,8,1,0,9,16.00,24.88
2,423,8,1,0,9,16.00,17.44
3,1923,8,1,0,9,16.00,15.66
4,1228,8,0,0,8,16.00,6.77
5,2180,7,2,0,9,14.00,23.77
6,486,7,2,0,9,14.00,20.33
7,2016,7,1,0,8,14.00,19.55
8,1089,7,2,0,9,14.00,15.88
9,1647,7,2,0,9,14.00,15.88
10,816,7,2,0,9,14.00,14.66
11,2729,6,2,1,9,13.00,18.44
12,1218,6,3,0,9,12.00,31.66
13,2590,6,3,0,9,12.00,18.33
14,2191,6,3,0,9,12.00,15.88
15,181,6,3,0,9,12.00,7.66
16,303,5,3,1,9,11.00,25.00
17,1230,4,2,2,8,10.00,19.33
18,1302,5,4,0,9,10.00,17.55
19,869,5,3,0,8,10.00,12.33
20,192,5,4,0,9,10.00,9.88
21,75,5,3,0,8,10.00,9.77
22,2199,5,3,0,8,10.00,7.22
23,224,5,4,0,9,10.00,7.11
24,1860,4,3,1,8,9.00,16.77
25,2344,4,4,1,9,9.00,14.55
26,102,4,4,1,9,9.00,10.44
27,709,4,3,1,8,9.00,7.00
28,25,4,5,0,9,8.00,24.11
29,834,4,5,0,9,8.00,20.77
30,2234,4,4,0,8,8.00,17.66
31,2607,4,5,0,9,8.00,17.66
32,1880,4,5,0,9,8.00,11.33
33,613,4,5,0,9,8.00,10.11
34,293,4,5,0,9,8.00,9.88
35,1547,4,5,0,9,8.00,7.22
36,2458,4,5,0,9,8.00,6.33
37,3231,4,5,0,9,8.00,5.00
38,2577,3,5,1,9,7.00,15.00
39,219,3,5,1,9,7.00,9.44
40,3607,3,5,1,9,7.00,5.88
41,41,2,4,2,8,6.00,12.22
42,1807,3,5,0,8,6.00,10.66
43,1672,3,5,0,8,6.00,9.88
44,623,3,6,0,9,6.00,9.55
45,3515,3,6,0,9,6.00,9.00
46,555,3,6,0,9,6.00,6.77
47,3419,3,6,0,9,6.00,5.33
48,1391,3,5,0,8,6.00,5.33
49,1155,2,6,1,9,5.00,8.88
50,136,2,6,1,9,5.00,6.77
51,2265,2,6,1,9,5.00,6.66
52,3637,2,7,0,9,4.00,12.33
53,2495,2,6,0,8,4.00,10.55
54,223,2,7,0,9,4.00,10.11
55,3314,2,6,0,8,4.00,6.66
56,1382,2,4,0,6,4.00,4.11
57,522,1,6,1,8,3.00,19.77
58,2600,1,7,1,9,3.00,11.00
59,1881,1,8,0,9,2.00,11.88
60,3059,1,7,0,8,2.00,5.00
