Rank,Team,Wins,Losses,Ties,Played,QS,RS,MP
1,2056,9,2,0,11,18.00,45.45,100
2,188,8,2,1,11,17.00,40.73,112
3,1114,8,3,0,11,16.00,47.09,168
4,2200,8,3,0,11,16.00,46.73,168
5,1334,8,3,0,11,16.00,42.18,90
6,1565,8,3,0,11,16.00,41.45,124
7,1310,7,3,1,11,15.00,36.73,134
8,1246,7,3,1,11,15.00,36.00,112
9,781,7,4,0,11,14.00,32.55,98
10,1281,6,4,1,11,13.00,31.27,54
11,1241,6,5,0,11,12.00,45.82,68
12,772,6,5,0,11,12.00,39.09,76
13,68,6,5,0,11,12.00,36.73,100
14,1006,6,5,0,11,12.00,34.00,168
15,1305,6,5,0,11,12.00,31.27,90
16,1535,6,5,0,11,12.00,26.00,100
17,771,6,5,0,11,12.00,24.73,90
18,2166,5,6,0,11,10.00,39.64,88
19,2609,5,6,0,11,10.00,34.73,134
20,854,4,6,1,11,9.00,31.64,100
21,2361,4,7,0,11,8.00,38.36,90
22,1141,4,7,0,11,8.00,37.45,54
23,1558,4,7,0,11,8.00,33.82,124
24,2076,4,7,0,11,8.00,20.36,74
25,2013,3,8,0,11,6.00,35.09,68
26,758,3,8,0,11,6.00,24.91,70
27,1075,3,8,0,11,6.00,18.18,76
28,1680,2,9,0,11,4.00,34.18,64
29,1605,2,9,0,11,4.00,24.55,50
30,1846,1,9,1,11,3.00,32.73,88
