Rank,Team,QS,Assist,Auto,T&C,G&F,Record (W-L-T),DQ,Played
1,971,22,1580,472,380,620,11-1-0,0,12
2,1323,20,1100,368,460,393,10-2-0,0,12
3,971B,18,1560,438,480,483,9-3-0,0,12
4,971C,18,1230,276,230,281,9-3-0,0,12
5,973B,16,1380,498,260,464,8-4-0,0,12
6,1671,16,1150,447,380,300,8-4-0,0,12
7,4135,16,830,240,220,301,8-4-0,0,12
8,2135,16,770,346,200,444,8-4-0,0,12
9,1678,14,1050,447,460,321,7-5-0,0,12
10,3482,14,720,446,260,356,7-5-0,0,12
11,114,12,820,273,240,227,6-6-0,0,12
12,4171,12,800,228,130,341,6-6-0,0,12
13,5012,12,790,192,220,325,6-6-0,0,12
14,1678B,10,1090,332,140,244,5-7-0,0,12
15,8678,10,920,297,110,233,5-7-0,0,12
16,5817,10,910,304,230,350,5-7-0,0,12
17,4225,10,890,268,260,281,5-7-0,0,12
18,973C,8,790,317,120,288,4-8-0,0,12
19,2813,8,690,317,270,296,4-8-0,0,12
20,4973,8,690,245,70,279,4-8-0,0,12
21,604,8,670,315,140,359,4-8-0,0,12
22,5104,8,430,261,100,223,4-8-0,0,12
23,9135,6,710,328,170,188,3-9-0,0,12
24,1323B,4,550,206,130,191,2-10-0,0,12
25,3495,4,500,233,130,333,2-10-0,0,12
