Rank,Team,QS,HP,BP,TP,CP,Record (W-L-T),DQ,Played
1,1100,31.00,144.00,190.00,111.00,13,9-3-0,0,12
2,2067,29.00,192.00,150.00,91.00,11,9-3-0,0,12
3,4097,29.00,143.00,100.00,76.00,16,6-5-1,0,12
4,3930,28.00,121.00,140.00,108.00,16,6-6-0,0,12
5,3182,28.00,91.00,50.00,55.00,16,6-6-0,0,12
6,228,28.00,88.00,110.00,114.00,12,8-4-0,0,12
7,3623,27.00,93.00,100.00,83.00,11,8-4-0,0,12
8,177,26.00,169.00,150.00,135.00,10,8-4-0,0,12
9,1884,26.00,168.00,90.00,72.00,8,9-3-0,0,12
10,23,26.00,114.00,60.00,86.00,12,7-5-0,0,12
11,839,26.00,83.00,110.00,74.00,12,7-5-0,0,12
12,348,24.00,63.00,90.00,96.00,12,6-6-0,0,12
13,3205,23.00,178.00,140.00,124.00,10,6-5-1,0,12
14,2648,23.00,31.00,80.00,95.00,13,5-7-0,0,12
15,558,22.00,159.00,100.00,89.00,6,8-4-0,0,12
16,467,22.00,124.00,120.00,78.00,8,7-5-0,0,12
17,2370,22.00,93.00,60.00,92.00,6,8-4-0,0,12
18,1735,22.00,71.00,90.00,56.00,11,5-6-1,0,12
19,246,22.00,69.00,100.00,73.00,10,6-6-0,0,12
20,4410,20.00,90.00,140.00,48.00,12,4-8-0,0,12
21,663,20.00,90.00,100.00,58.00,10,5-7-0,0,12
22,190,20.00,52.00,60.00,92.00,12,4-8-0,0,12
23,3499,20.00,48.00,120.00,81.00,4,8-4-0,0,12
24,549,19.00,86.00,80.00,52.00,10,4-7-1,0,12
25,230,19.00,72.00,110.00,98.00,8,5-6-1,0,12
26,1991,18.00,128.00,20.00,41.00,14,2-10-0,0,12
27,1687,17.00,109.00,110.00,51.00,5,6-6-0,0,12
28,4041,17.00,74.00,110.00,76.00,4,6-5-1,0,12
29,3280,16.00,143.00,60.00,106.00,6,5-7-0,0,12
30,4042,16.00,86.00,130.00,75.00,4,6-6-0,0,12
31,2621,14.00,48.00,10.00,58.00,10,2-10-0,0,12
32,2877,14.00,38.00,60.00,49.00,8,3-9-0,0,12
33,4254,12.00,112.00,70.00,30.00,4,4-8-0,0,12
34,2064,12.00,50.00,60.00,50.00,6,3-9-0,0,12
