Rank,Team,Ranking Score,End Game,Auto,Ownership,Vault,Record (W-L-T),DQ,Played
1,1599,2.66,460,181,1357,185,4-2-0,0,6
2,346,2.5,435,170,1440,210,4-2-0,0,6
3,836,2.5,345,160,1557,155,5-1-0,0,6
4,5957,2.33,355,176,1296,195,5-1-0,0,6
5,1610,2.33,340,174,1239,205,5-1-0,0,6
6,339,2.33,335,208,1214,240,4-2-0,0,6
7,623,2.16,360,200,1311,175,5-1-0,0,6
8,384,2,365,163,1422,200,4-2-0,0,6
9,1413,2,365,157,1299,250,4-2-0,0,6
10,2682,2,360,177,1268,150,4-2-0,0,6
11,2642,2,355,184,1272,185,4-2-0,0,6
12,1522,2,330,161,1219,215,4-2-0,0,6
13,1629,2,320,193,1435,155,4-2-0,0,6
14,5546,1.83,345,167,1067,155,2-4-0,0,6
15,6194,1.83,300,179,1087,185,3-3-0,0,6
16,2028,1.66,340,174,958,210,3-3-0,0,6
17,122,1.5,380,171,954,155,2-4-0,0,6
18,6802,1.5,275,149,1365,105,3-3-0,0,6
19,3359,1.5,240,152,1123,185,2-4-0,0,6
20,2106,1.33,325,145,1253,130,3-3-0,0,6
21,435,1.33,275,99,822,130,3-3-0,0,6
22,540,1.16,335,122,1029,230,2-4-0,0,6
23,7715,1.16,275,95,997,155,3-3-0,0,6
24,5724,1.16,225,187,1060,190,2-4-0,0,6
25,1137,1,285,103,802,160,2-4-0,0,6
26,2363,1,270,180,1008,185,1-5-0,0,6
27,2890,0.83,295,128,1075,130,1-5-0,0,6
28,1080,0.83,250,134,978,105,2-4-0,0,6
29,7429,0.83,240,92,728,90,2-4-0,0,6
30,3136,0.66,245,159,839,155,1-5-0,0,6
31,900,0,215,102,569,90,0-6-0,0,6
