Rank,Team,Wins,Losses,Ties,Played,QS,RS,MP
1,245,10,2,0,12,20.00,43.75,92
2,862,10,2,0,12,20.00,43.66,90
3,107,9,3,0,12,18.00,39.08,112
4,1504,8,4,0,12,16.00,47.16,75
5,70,8,4,0,12,16.00,45.91,88
6,33,8,4,0,12,16.00,43.50,87
7,818,8,4,0,12,16.00,43.08,76
8,1,8,4,0,12,16.00,39.83,72
9,2586,7,4,1,12,15.00,36.33,95
10,68,7,5,0,12,14.00,46.08,112
11,27,7,5,0,12,14.00,45.83,95
12,470,7,5,0,12,14.00,45.16,78
13,2627,7,5,0,12,14.00,39.83,75
14,548,7,5,0,12,14.00,38.25,93
15,302,6,5,1,12,13.00,49.66,69
16,1684,6,5,1,12,13.00,44.66,62
17,1718,6,6,0,12,12.00,47.33,95
18,1025,6,6,0,12,12.00,45.00,93
19,314,6,6,0,12,12.00,40.58,71
20,322,6,6,0,12,12.00,40.25,68
21,494,6,6,0,12,12.00,39.83,78
22,1243,6,6,0,12,12.00,39.50,72
23,894,6,6,0,12,12.00,38.50,69
24,2337,6,6,0,12,12.00,37.25,76
25,66,5,6,1,12,11.00,50.08,92
26,2771,5,6,1,12,11.00,38.83,63
27,65,5,6,1,12,11.00,38.16,112
28,910,5,7,0,12,10.00,47.08,88
29,1506,5,7,0,12,10.00,43.66,87
30,49,5,7,0,12,10.00,43.25,93
31,2619,5,7,0,12,10.00,40.83,69
32,1783,5,7,0,12,10.00,39.33,85
33,1189,5,7,0,12,10.00,35.33,82
34,468,4,8,0,12,8.00,39.08,90
35,397,4,8,0,12,8.00,34.66,76
36,1322,3,9,0,12,6.00,40.91,92
37,2145,3,9,0,12,6.00,40.16,90
38,830,3,9,0,12,6.00,38.83,63
39,2163,3,9,0,12,6.00,35.16,84
40,3060,1,11,0,12,2.00,41.00,56
