Rank,Team,Ranking Score,Match Points,Auto,Rotor,Takeoff,kPa,Record (W-L-T),DQ,Played
1,1986,3,1935,544,840,600,370,7-0-0,0,7
2,5516,2.28,1849,414,820,800,89,7-0-0,0,7
3,4613,2.14,1761,385,780,600,196,6-1-0,0,7
4,1772,2,1699,424,940,450,84,6-1-0,0,7
5,694,1.85,1780,395,980,600,0,6-1-0,0,7
6,6394,1.85,1686,358,840,600,31,6-1-0,0,7
7,6487,1.85,1408,469,840,350,38,6-0-1,0,7
8,987,1.71,1743,599,800,600,238,5-2-0,0,7
9,5522,1.71,1710,460,1000,450,0,5-2-0,0,7
10,5515,1.57,1820,448,860,700,65,5-2-0,0,7
11,5453,1.57,1621,356,920,550,41,5-2-0,0,7
12,9900,1.57,1568,449,800,600,43,5-2-0,0,7
13,6353,1.57,1425,298,780,450,60,5-2-0,0,7
14,9069,1.57,1359,427,820,350,54,5-2-0,0,7
15,9081,1.57,1147,340,840,150,32,5-1-1,0,7
16,5849,1.42,1629,233,720,750,24,5-2-0,0,7
17,9067,1.42,1536,355,800,550,26,5-2-0,0,7
18,6386,1.42,1524,410,780,600,34,5-2-0,0,7
19,9071,1.42,1435,280,740,450,5,5-2-0,0,7
20,6392,1.42,1422,468,840,400,52,5-2-0,0,7
21,9077,1.42,1398,282,720,450,103,4-3-0,0,7
22,9079,1.42,1395,340,880,350,0,5-2-0,0,7
23,9064,1.42,1315,275,740,450,0,5-2-0,0,7
24,9090,1.42,1259,376,780,350,4,5-2-0,0,7
25,6393,1.28,1683,289,780,600,43,4-3-0,0,7
26,6375,1.28,1485,308,700,550,65,3-2-2,0,7
27,9080,1.28,1451,275,760,500,86,4-3-0,0,7
28,3937,1.28,1433,405,780,400,8,4-2-1,0,7
29,1595,1.28,1375,220,640,600,0,4-2-1,0,7
30,6361,1.28,1332,320,780,350,72,4-3-0,0,7
31,359,1.14,1574,405,780,500,94,4-3-0,0,7
32,9047,1.14,1440,400,780,500,0,3-3-1,0,7
33,5839,1.14,1405,460,840,350,0,4-3-0,0,7
34,3455,1.14,1375,303,740,400,55,4-3-0,0,7
35,6383,1.14,1352,228,640,550,37,4-3-0,0,7
36,9089,1.14,1234,204,660,350,99,3-4-0,0,7
37,9059,1,1372,270,780,400,2,3-4-0,0,7
38,9013,1,1200,220,720,300,0,3-3-1,0,7
39,2204,1,1186,185,660,350,46,3-4-0,0,7
40,9060,1,1109,169,580,350,59,3-4-0,0,7
41,9066,0.85,1505,270,780,600,0,3-4-0,0,7
42,2826,0.85,1467,348,760,550,37,3-4-0,0,7
43,5823,0.85,1465,155,740,600,0,3-4-0,0,7
44,6360,0.85,1340,125,540,650,0,3-4-0,0,7
45,6354,0.85,1339,342,680,450,34,3-4-0,0,7
46,5451,0.85,1336,185,580,600,26,3-4-0,0,7
47,9083,0.85,1320,325,800,400,0,3-4-0,0,7
48,9078,0.85,1289,109,520,600,4,3-4-0,0,7
49,9086,0.85,1285,325,800,300,0,3-4-0,0,7
50,9076,0.85,1240,205,680,450,0,3-4-0,0,7
51,9085,0.85,1190,265,620,400,0,3-3-0,1,7
52,4953,0.85,1175,125,580,500,0,3-4-0,0,7
53,9070,0.85,1155,205,720,350,0,3-4-0,0,7
54,9082,0.85,1100,210,640,350,0,3-4-0,0,7
55,5445,0.85,1078,344,720,200,38,3-4-0,0,7
56,6304,0.85,955,340,680,150,0,3-4-0,0,7
57,5452,0.71,1409,175,580,650,44,2-5-0,0,7
58,9061,0.71,1295,270,700,500,0,2-4-1,0,7
59,6706,0.57,1485,275,780,600,0,2-5-0,0,7
60,771,0.57,1245,280,660,450,0,2-5-0,0,7
61,9084,0.57,1231,400,740,300,31,2-5-0,0,7
62,9074,0.57,1175,270,660,400,0,2-5-0,0,7
63,6801,0.57,995,340,720,150,0,2-5-0,0,7
64,6374,0.57,955,280,660,150,0,2-5-0,0,7
65,9072,0.57,945,250,620,200,0,2-4-0,1,7
66,9062,0.57,925,140,540,300,0,2-5-0,0,7
67,9075,0.42,1286,210,720,350,26,1-5-1,0,7
68,6376,0.42,1200,275,700,350,0,1-5-1,0,7
69,9073,0.42,1025,265,700,200,0,1-5-1,0,7
70,9068,0.42,970,303,580,200,70,1-6-0,0,7
71,6771,0.28,1275,145,740,450,0,1-6-0,0,7
72,9065,0.28,1112,247,680,250,32,1-6-0,0,7
73,5308,0.28,1055,335,680,250,0,1-6-0,0,7
74,9088,0.28,1035,280,580,300,0,1-6-0,0,7
75,6399,0.28,1022,164,580,300,17,1-6-0,0,7
76,5344,0.28,855,95,560,150,0,1-6-0,0,7
77,6356,,1040,220,560,350,0,0-7-0,0,7
