Rank,Team,Wins,Losses,Ties,Played,QS,RS
1,254,10,0,0,10,20.00,25.00
2,987,8,2,0,10,16.00,36.30
3,2485,8,2,0,10,16.00,20.90
4,589,8,2,0,10,16.00,19.80
5,3255,7,2,1,10,15.00,16.90
6,3477,7,2,1,10,15.00,13.80
7,973,7,3,0,10,14.00,23.20
8,1540,7,3,0,10,14.00,20.00
9,2984,7,3,0,10,14.00,17.30
10,1538,7,3,0,10,14.00,15.40
11,294,7,3,0,10,14.00,13.50
12,399,7,3,0,10,14.00,11.80
13,687,6,1,2,9,14.00,8.20
14,1717,6,2,1,9,13.00,19.10
15,1160,6,3,1,10,13.00,12.60
16,2658,6,4,0,10,12.00,16.10
17,968,6,4,0,10,12.00,14.10
18,2102,6,4,0,10,12.00,13.00
19,2439,6,4,0,10,12.00,11.40
20,3704,6,4,0,10,12.00,9.30
21,2193,5,3,2,10,12.00,5.20
22,599,5,4,1,10,11.00,20.30
23,2029,5,4,1,10,11.00,11.40
24,1572,5,4,0,9,10.00,17.60
25,3021,4,4,2,10,10.00,16.10
26,2348,5,4,0,9,10.00,12.00
27,3470,5,5,0,10,10.00,11.60
28,3491,5,5,0,10,10.00,11.40
29,8,4,5,1,10,9.00,17.00
30,3128,4,5,1,10,9.00,16.90
31,3500,4,4,1,9,9.00,11.80
32,2090,4,4,1,9,9.00,11.20
33,2827,4,5,1,10,9.00,9.80
34,1372,4,5,1,10,9.00,9.40
35,1622,4,6,0,10,8.00,22.70
36,1266,4,6,0,10,8.00,16.60
37,812,4,6,0,10,8.00,13.80
38,1388,4,6,0,10,8.00,12.30
39,702,4,6,0,10,8.00,10.60
40,2543,4,6,0,10,8.00,8.80
41,2493,3,5,2,10,8.00,8.50
42,585,3,5,2,10,8.00,8.30
43,3453,3,5,2,10,8.00,6.90
44,3195,4,3,0,7,8.00,6.80
45,2339,3,6,1,10,7.00,14.10
46,3341,3,6,1,10,7.00,12.30
47,3476,3,6,1,10,7.00,11.90
48,3647,3,6,0,9,6.00,21.60
49,980,3,6,0,9,6.00,18.00
50,2839,3,7,0,10,6.00,16.50
51,1972,3,7,0,10,6.00,13.90
52,3486,3,5,0,8,6.00,11.30
53,1967,3,5,0,8,6.00,7.50
54,3749,2,6,1,9,5.00,11.60
55,3480,2,8,0,10,4.00,9.60
56,3226,2,5,0,7,4.00,8.80
57,3794,2,8,0,10,4.00,8.70
58,981,1,7,1,9,3.00,9.40
59,3849,1,5,0,6,2.00,6.00
60,2477,0,0,0,0,0,0
