Rank,Team,Wins,Losses,Ties,Played,QS,RS
1,1918,11,1,0,12,22.00,15.75
2,2767,10,2,0,12,20.00,13.08
3,201,10,1,0,11,20.00,9.16
4,2145,9,3,0,12,18.00,15.16
5,2000,9,3,0,12,18.00,11.16
6,2959,8,2,1,11,17.00,12.58
7,2474,7,3,2,12,16.00,14.50
8,2611,8,4,0,12,16.00,11.66
9,66,7,3,2,12,16.00,6.91
10,85,7,4,1,12,15.00,10.50
11,3688,7,4,1,12,15.00,6.00
12,247,7,4,1,12,15.00,5.75
13,74,7,5,0,12,14.00,12.83
14,3602,7,3,0,10,14.00,5.25
15,2586,6,5,1,12,13.00,9.00
16,3618,6,4,1,11,13.00,8.08
17,857,6,5,1,12,13.00,6.58
18,830,5,5,2,12,12.00,9.91
19,2771,5,5,2,12,12.00,8.16
20,3772,6,6,0,12,12.00,6.83
21,2246,5,6,1,12,11.00,18.08
22,2619,5,5,1,11,11.00,9.16
23,835,5,7,0,12,10.00,11.00
24,3639,4,5,2,11,10.00,9.16
25,815,4,6,2,12,10.00,5.41
26,141,4,5,2,11,10.00,5.33
27,1896,4,6,2,12,10.00,3.41
28,3537,4,7,1,12,9.00,9.00
29,3617,4,5,1,10,9.00,6.00
30,1076,4,7,1,12,9.00,6.00
31,2245,4,8,0,12,8.00,8.33
32,904,4,8,0,12,8.00,7.75
33,123,3,7,2,12,8.00,6.33
34,3357,3,7,2,12,8.00,5.75
35,1596,4,8,0,12,8.00,3.08
36,3767,3,8,1,12,7.00,7.66
37,910,3,9,0,12,6.00,17.08
38,3458,3,8,0,11,6.00,4.33
39,3771,2,10,0,12,4.00,10.00
40,1711,0,11,1,12,1.00,6.50
