Rank,Team,Wins,Losses,Ties,Played,QS,RS,MP
1,111,8,1,0,9,16.00,45.11,76
2,461,7,2,0,9,14.00,39.33,66
3,45,6,3,0,9,12.00,46.44,100
4,1024,6,3,0,9,12.00,46.44,92
5,292,6,3,0,9,12.00,38.44,92
6,234,6,3,0,9,12.00,37.56,62
7,1741,6,3,0,9,12.00,36.89,88
8,2197,6,3,0,9,12.00,36.22,72
9,829,6,3,0,9,12.00,35.11,100
10,1000,6,3,0,9,12.00,35.11,60
11,2368,6,3,0,9,12.00,34.67,64
12,2474,6,3,0,9,12.00,32.89,88
13,2081,5,4,0,9,10.00,44.67,76
14,447,5,4,0,9,10.00,41.33,88
15,2040,5,4,0,9,10.00,40.00,78
16,201,5,4,0,9,10.00,35.56,60
17,1766,5,4,0,9,10.00,34.89,62
18,1327,5,4,0,9,10.00,34.67,74
19,876,5,4,0,9,10.00,32.89,100
20,1018,5,4,0,9,10.00,29.33,52
21,1529,5,4,0,9,10.00,28.67,64
22,1985,4,5,0,9,8.00,43.33,56
23,1501,4,5,0,9,8.00,37.33,92
24,931,4,5,0,9,8.00,36.22,76
25,1747,4,5,0,9,8.00,36.00,62
26,1760,4,5,0,9,8.00,36.00,60
27,2171,4,5,0,9,8.00,33.33,74
28,554,4,5,0,9,8.00,32.44,72
29,2151,4,5,0,9,8.00,25.33,62
30,1646,3,6,0,9,6.00,36.00,72
31,2015,3,6,0,9,6.00,33.56,58
32,135,3,6,0,9,6.00,32.44,74
33,2360,3,6,0,9,6.00,29.33,76
34,868,3,6,0,9,6.00,28.67,78
35,862,3,6,0,9,6.00,26.44,46
36,2145,3,5,0,8,6.00,23.78,60
37,1555,2,7,0,9,4.00,25.33,72
38,393,2,7,0,9,4.00,24.22,64
39,1720,2,7,0,9,4.00,19.56,46
40,548,1,8,0,9,2.00,30.44,52
