Rank,Team,Ranking Score,End Game,Auto,Ownership,Vault,Record (W-L-T),DQ,Played
1,27,2.44,485,317,2329,280,8-1-0,0,9
2,6120,2.33,580,228,1937,360,7-2-0,0,9
3,5502,2,435,244,2070,160,7-2-0,0,9
4,3688,1.88,255,262,1931,225,5-4-0,0,9
5,5230,1.77,515,171,1699,215,6-3-0,0,9
6,4983,1.77,435,257,1491,220,5-4-0,0,9
7,3618,1.77,260,245,1590,240,5-4-0,0,9
8,6121,1.66,475,248,1583,325,5-4-0,0,9
9,4376,1.66,320,199,1715,250,6-3-0,0,9
10,6005,1.55,410,224,1675,290,4-5-0,0,9
11,7244,1.55,390,239,1590,250,4-5-0,0,9
12,7250,1.55,315,245,1415,170,4-5-0,0,9
13,5525,1.55,300,196,1502,140,5-4-0,0,9
14,3537,1.44,445,218,1593,270,4-5-0,0,9
15,7084,1.44,375,187,1849,230,5-4-0,0,9
16,6077,1.33,410,238,1326,200,3-6-0,0,9
17,5505,1.33,340,227,1435,210,3-6-0,0,9
18,5314,1.33,305,241,1685,195,4-5-0,0,9
19,5534,1.33,285,287,1494,220,3-6-0,0,9
20,9230,1.33,250,237,1582,150,4-5-0,0,9
21,5714,1.22,470,199,1264,260,4-5-0,0,9
22,1711,1.22,395,252,1260,190,3-6-0,0,9
23,5213,1.22,305,232,1129,220,3-6-0,0,9
24,5183,0.55,395,205,1022,340,1-8-0,0,9
