Rank,Team,Ranking Score,Auto,Scale/Challenge,Goals,Defense,Record (W-L-T),Played
1,67,39.0,310.0,270.0,357.0,670.0,11-1-0,12
2,68,38.0,288.0,175.0,285.0,655.0,11-1-0,12
3,703,34.0,278.0,185.0,244.0,645.0,10-2-0,12
4,494,32.0,334.0,165.0,302.0,635.0,9-2-1,12
5,4384,32.0,278.0,185.0,343.0,650.0,8-4-0,12
6,2834,31.0,288.0,145.0,352.0,650.0,7-5-0,12
7,5559,30.0,304.0,195.0,225.0,700.0,7-5-0,12
8,70,29.0,368.0,130.0,360.0,685.0,7-5-0,12
9,4362,29.0,320.0,170.0,337.0,650.0,7-4-1,12
10,302,29.0,296.0,260.0,197.0,685.0,8-4-0,12
11,5517,29.0,296.0,165.0,266.0,600.0,7-5-0,12
12,4776,28.0,333.0,155.0,243.0,665.0,8-4-0,12
13,3707,28.0,282.0,155.0,187.0,605.0,7-5-0,12
14,894,28.0,268.0,165.0,277.0,640.0,7-4-1,12
15,1076,28.0,266.0,180.0,193.0,610.0,8-4-0,12
16,5530,27.0,286.0,175.0,261.0,650.0,7-5-0,12
17,3568,27.0,266.0,180.0,197.0,660.0,7-5-0,12
18,5676,26.0,274.0,185.0,204.0,635.0,7-5-0,12
19,5424,25.0,295.0,220.0,173.0,670.0,6-6-0,12
20,5152,25.0,271.0,180.0,233.0,635.0,7-5-0,12
21,830,24.0,301.0,145.0,252.0,635.0,7-5-0,12
22,201,24.0,252.0,195.0,279.0,600.0,6-6-0,12
23,470,24.0,245.0,185.0,131.0,625.0,6-6-0,12
24,3536,23.0,332.0,165.0,269.0,640.0,7-5-0,12
25,3668,23.0,315.0,150.0,187.0,665.0,6-6-0,12
26,51,23.0,281.0,150.0,206.0,625.0,4-7-1,12
27,5567,22.0,290.0,175.0,167.0,680.0,4-8-0,12
28,5086,21.0,253.0,145.0,196.0,585.0,6-6-0,12
29,6081,19.0,296.0,135.0,183.0,605.0,5-7-0,12
30,468,19.0,260.0,135.0,121.0,605.0,4-7-1,12
31,4568,19.0,169.0,155.0,167.0,550.0,5-7-0,12
32,5523,18.0,204.0,155.0,144.0,590.0,4-7-1,12
33,6078,15.0,210.0,160.0,128.0,605.0,3-9-0,12
34,2145,14.0,300.0,160.0,194.0,595.0,4-8-0,12
35,5641,14.0,255.0,155.0,160.0,580.0,3-9-0,12
36,6101,14.0,220.0,135.0,149.0,595.0,1-11-0,12
37,6011,14.0,215.0,125.0,156.0,565.0,2-10-0,12
38,5235,14.0,166.0,170.0,150.0,545.0,2-10-0,12
39,5713,10.0,256.0,115.0,134.0,565.0,1-11-0,12
40,6091,9.0,250.0,95.0,106.0,555.0,1-11-0,12
