Rank,Team,QS,HP,BP,TP,CP,Record (W-L-T),DQ,Played
1,3138,34.00,169.00,70.00,247.00,14,10-0-0,0,10
2,829,34.00,166.00,100.00,232.00,18,8-2-0,0,10
3,2481,32.00,188.00,90.00,180.00,16,8-2-0,0,10
4,48,28.00,154.00,60.00,240.00,12,8-2-0,0,10
5,554,28.00,131.00,110.00,105.00,14,7-3-0,0,10
6,1024,28.00,129.00,90.00,136.00,12,8-2-0,0,10
7,3193,26.00,186.00,70.00,219.00,12,7-3-0,0,10
8,379,26.00,142.00,120.00,188.00,12,7-3-0,0,10
9,1730,26.00,138.00,50.00,278.00,12,7-3-0,0,10
10,772,26.00,137.00,40.00,204.00,12,7-3-0,0,10
11,45,26.00,111.00,50.00,80.00,14,6-4-0,0,10
12,1741,25.00,177.00,80.00,164.00,9,8-2-0,0,10
13,3945,25.00,108.00,90.00,160.00,11,7-3-0,0,10
14,4008,24.00,126.00,50.00,158.00,10,7-3-0,0,10
15,3186,24.00,116.00,80.00,107.00,16,4-6-0,0,10
16,71,22.00,182.00,20.00,189.00,10,6-4-0,0,10
17,3492,22.00,177.00,60.00,112.00,12,5-5-0,0,10
18,1270,22.00,131.00,90.00,78.00,14,4-6-0,0,10
19,1772,22.00,127.00,80.00,104.00,8,7-3-0,0,10
20,1038,22.00,95.00,90.00,131.00,12,5-5-0,0,10
21,781,22.00,88.00,120.00,157.00,10,6-4-0,0,10
22,4234,22.00,88.00,60.00,91.00,8,7-3-0,0,10
23,4211,22.00,55.00,90.00,94.00,14,4-6-0,0,10
24,447,21.00,203.00,90.00,194.00,7,7-3-0,0,10
25,1528,21.00,103.00,100.00,89.00,15,3-6-0,1,10
26,2199,20.00,153.00,100.00,167.00,10,5-5-0,0,10
27,1014,20.00,140.00,50.00,93.00,10,5-5-0,0,10
28,1781,20.00,119.00,50.00,103.00,12,4-6-0,0,10
29,4070,20.00,103.00,70.00,133.00,8,6-4-0,0,10
30,2022,20.00,100.00,80.00,122.00,14,3-7-0,0,10
31,4283,20.00,86.00,30.00,84.00,14,3-7-0,0,10
32,2917,20.00,72.00,20.00,114.00,12,4-6-0,0,10
33,537,18.00,149.00,80.00,147.00,6,6-4-0,0,10
34,4330,18.00,125.00,50.00,69.00,12,3-7-0,0,10
35,2399,18.00,123.00,70.00,152.00,4,7-3-0,0,10
36,3266,18.00,120.00,70.00,122.00,10,4-6-0,0,10
37,1466,18.00,107.00,60.00,109.00,8,5-5-0,0,10
38,3494,18.00,90.00,80.00,175.00,10,4-6-0,0,10
39,538,18.00,58.00,50.00,210.00,6,6-4-0,0,10
40,3201,16.00,179.00,60.00,105.00,10,3-7-0,0,10
41,3940,16.00,155.00,80.00,142.00,6,5-5-0,0,10
42,1529,16.00,134.00,40.00,62.00,10,3-7-0,0,10
43,1739,16.00,131.00,30.00,106.00,10,3-7-0,0,10
44,1706,16.00,118.00,60.00,156.00,6,5-5-0,0,10
45,4115,16.00,110.00,50.00,93.00,8,4-6-0,0,10
46,3324,16.00,103.00,80.00,88.00,8,4-6-0,0,10
47,2338,16.00,86.00,40.00,119.00,8,4-6-0,0,10
48,4284,16.00,68.00,30.00,68.00,16,0-10-0,0,10
49,3301,16.00,61.00,90.00,131.00,8,4-6-0,0,10
50,3180,15.00,85.00,60.00,115.00,11,2-8-0,0,10
51,3000,15.00,60.00,50.00,54.00,9,3-6-0,1,10
52,3504,14.00,77.00,70.00,142.00,4,5-5-0,0,10
53,1535,14.00,74.00,40.00,117.00,8,3-7-0,0,10
54,3272,14.00,73.00,50.00,84.00,8,3-7-0,0,10
55,144,12.00,111.00,40.00,110.00,6,3-7-0,0,10
56,4275,12.00,74.00,50.00,56.00,10,1-9-0,0,10
57,2197,10.00,86.00,40.00,79.00,6,2-8-0,0,10
