Rank,Team,QS,ASSIST,AUTO,T&C,TELEOP,Record (W-L-T),DQ,PLAYED
1,233,20.00,280.00,375.00,230.00,375.00,10-0-0,0,10
2,1592,20.00,260.00,395.00,190.00,537.00,10-0-0,0,10
3,624,18.00,360.00,516.00,190.00,310.00,9-1-0,0,10
4,744,18.00,200.00,375.00,90.00,553.00,9-1-0,0,10
5,1523,16.00,290.00,310.00,130.00,403.00,8-2-0,0,10
6,3998,16.00,260.00,375.00,180.00,464.00,8-2-0,0,10
7,383,16.00,230.00,396.00,190.00,312.00,8-2-0,0,10
8,3556,16.00,220.00,375.00,120.00,280.00,8-2-0,0,10
9,179,16.00,150.00,332.00,150.00,275.00,8-2-0,0,10
10,180,14.00,350.00,390.00,290.00,333.00,7-3-0,0,10
11,4118,14.00,220.00,406.00,190.00,356.00,7-3-0,0,10
12,4451,14.00,220.00,400.00,100.00,385.00,7-3-0,0,10
13,1772,14.00,190.00,311.00,290.00,434.00,7-3-0,0,10
14,2797,14.00,180.00,215.00,80.00,519.00,7-3-0,0,10
15,4065,14.00,130.00,215.00,120.00,434.00,7-2-0,1,10
16,21,14.00,120.00,281.00,120.00,511.00,7-3-0,0,10
17,1065,12.00,240.00,430.00,180.00,463.00,6-4-0,0,10
18,5283,12.00,230.00,290.00,110.00,313.00,6-4-0,0,10
19,2152,12.00,200.00,340.00,120.00,217.00,6-4-0,0,10
20,3557,12.00,150.00,300.00,170.00,298.00,6-4-0,0,10
21,4024,12.00,150.00,247.00,60.00,163.00,6-4-0,0,10
22,801,12.00,130.00,395.00,130.00,269.00,6-4-0,0,10
23,79,10.00,340.00,330.00,60.00,184.00,5-5-0,0,10
24,1557,10.00,250.00,401.00,120.00,354.00,5-5-0,0,10
25,4901,10.00,240.00,280.00,90.00,307.00,5-5-0,0,10
26,1251,10.00,220.00,255.00,70.00,191.00,5-5-0,0,10
27,1421,10.00,210.00,460.00,140.00,368.00,5-5-0,0,10
28,3932,10.00,190.00,301.00,100.00,454.00,5-5-0,0,10
29,456,10.00,180.00,340.00,100.00,290.00,5-5-0,0,10
30,86,10.00,150.00,335.00,90.00,275.00,5-5-0,0,10
31,4769,10.00,140.00,300.00,170.00,262.00,5-5-0,0,10
32,1876,10.00,130.00,391.00,180.00,290.00,5-5-0,0,10
33,1649,10.00,120.00,300.00,70.00,339.00,5-5-0,0,10
34,4352,10.00,120.00,282.00,100.00,294.00,5-5-0,0,10
35,3659,10.00,80.00,185.00,110.00,301.00,5-5-0,0,10
36,5145,8.00,240.00,269.00,150.00,214.00,4-6-0,0,10
37,1912,8.00,230.00,325.00,140.00,269.00,4-6-0,0,10
38,1902,8.00,220.00,235.00,50.00,264.00,4-6-0,0,10
39,4592,8.00,170.00,361.00,170.00,212.00,4-6-0,0,10
40,4064,8.00,160.00,266.00,50.00,107.00,4-6-0,0,10
41,3627,8.00,160.00,185.00,150.00,336.00,4-6-0,0,10
42,2080,8.00,150.00,345.00,50.00,177.00,4-6-0,0,10
43,2425,8.00,90.00,196.00,90.00,198.00,4-6-0,0,10
44,4091,8.00,70.00,266.00,70.00,335.00,4-6-0,0,10
45,386,8.00,60.00,251.00,90.00,254.00,4-6-0,0,10
46,5276,8.00,50.00,235.00,90.00,267.00,4-6-0,0,10
47,2556,6.00,190.00,245.00,100.00,311.00,3-7-0,0,10
48,1369,6.00,170.00,245.00,70.00,294.00,3-7-0,0,10
49,3502,6.00,150.00,195.00,70.00,223.00,3-7-0,0,10
50,3653,6.00,140.00,326.00,40.00,258.00,3-7-0,0,10
51,2916,6.00,140.00,215.00,60.00,288.00,3-7-0,0,10
52,4833,6.00,130.00,260.00,120.00,326.00,3-7-0,0,10
53,3164,6.00,110.00,210.00,170.00,262.00,3-7-0,0,10
54,4013,6.00,100.00,305.00,90.00,354.00,3-7-0,0,10
55,1872,6.00,80.00,266.00,130.00,195.00,3-7-0,0,10
56,4471,4.00,200.00,300.00,30.00,190.00,2-8-0,0,10
57,4707,4.00,170.00,386.00,130.00,161.00,2-8-0,0,10
58,2383,4.00,100.00,300.00,110.00,274.00,2-8-0,0,10
59,1604,4.00,90.00,200.00,40.00,64.00,2-8-0,0,10
60,945,2.00,130.00,305.00,60.00,251.00,1-9-0,0,10
61,3242,2.00,70.00,245.00,80.00,58.00,1-9-0,0,10
62,5009,2.00,50.00,201.00,40.00,135.00,1-9-0,0,10
