Rank,Team,Ranking Score,Auto,Scale/Challenge,Goals,Defense,Record (W-L-T),DQ,Played
1,5172,28,304,165,425,440,8-0-0,0,8
2,2052,26,282,125,386,435,8-0-0,0,8
3,2987,22,214,125,344,435,6-2-0,0,8
4,4009,21,242,175,302,440,6-2-0,0,8
5,2502,21,226,160,358,405,6-2-0,0,8
6,4778,20,208,165,307,415,5-3-0,0,8
7,2501,19,249,135,249,430,5-3-0,0,8
8,3276,19,236,130,235,460,5-3-0,0,8
9,3277,19,228,180,229,445,5-3-0,0,8
10,5434,18,307,115,366,440,4-4-0,0,8
11,3042,18,216,130,258,420,4-4-0,0,8
12,2823,17,256,120,351,405,4-4-0,0,8
13,2855,17,246,110,247,445,4-4-0,0,8
14,4607,16,212,135,229,400,5-3-0,0,8
15,2512,16,206,135,247,405,4-4-0,0,8
16,2526,16,194,130,261,400,4-4-0,0,8
17,4539,16,167,115,232,405,4-4-0,0,8
18,2220,15,198,130,280,400,3-5-0,0,8
19,5690,14,224,85,216,435,3-5-0,0,8
20,5232,14,200,130,151,435,3-5-0,0,8
21,2530,14,195,120,249,405,3-5-0,0,8
22,2503,13,226,175,223,425,2-6-0,0,8
23,2883,13,211,95,279,390,3-5-0,0,8
24,4656,12,235,120,219,425,3-5-0,0,8
25,3102,12,215,95,177,410,2-6-0,0,8
26,2538,12,210,75,173,405,3-5-0,0,8
27,6175,12,205,95,178,385,2-6-0,0,8
28,4624,11,254,105,196,430,2-6-0,0,8
29,3082,9,232,120,161,415,2-6-0,0,8
30,1816,9,173,85,188,385,2-6-0,0,8
