Rank,Team,QS,HP,BP,TP,CP,Record (W-L-T),DQ,Played
1,67,40.00,213.00,150.00,254.00,22,9-3-0,0,12
2,469,40.00,199.00,160.00,311.00,16,12-0-0,0,12
3,548,36.00,226.00,100.00,262.00,20,8-4-0,0,12
4,4002,36.00,143.00,130.00,119.00,18,9-3-0,0,12
5,2851,36.00,128.00,140.00,175.00,20,8-4-0,0,12
6,3539,34.00,219.00,140.00,175.00,18,8-4-0,0,12
7,216,34.00,214.00,150.00,193.00,18,8-4-0,0,12
8,288,34.00,108.00,120.00,98.00,24,5-7-0,0,12
9,1718,32.00,159.00,120.00,177.00,18,7-5-0,0,12
10,245,32.00,123.00,140.00,164.00,18,7-5-0,0,12
11,1918,32.00,116.00,140.00,233.00,18,7-5-0,0,12
12,3657,32.00,109.00,150.00,100.00,18,7-5-0,0,12
13,217,30.00,218.00,140.00,206.00,14,8-4-0,0,12
14,453,30.00,193.00,160.00,126.00,12,9-3-0,0,12
15,3568,30.00,172.00,160.00,113.00,16,7-5-0,0,12
16,66,30.00,126.00,130.00,162.00,18,6-6-0,0,12
17,33,28.00,195.00,130.00,150.00,14,7-5-0,0,12
18,3302,28.00,191.00,150.00,192.00,14,7-5-0,0,12
19,1250,28.00,175.00,100.00,177.00,16,6-6-0,0,12
20,2604,28.00,129.00,180.00,113.00,20,4-8-0,0,12
21,4380,28.00,98.00,90.00,133.00,16,6-6-0,0,12
22,226,26.00,185.00,150.00,137.00,10,8-4-0,0,12
23,2960,26.00,149.00,150.00,161.00,14,6-6-0,0,12
24,3548,26.00,145.00,130.00,165.00,14,6-6-0,0,12
25,910,26.00,142.00,110.00,155.00,16,5-7-0,0,12
26,4382,26.00,114.00,80.00,135.00,16,5-7-0,0,12
27,1188,26.00,92.00,90.00,119.00,20,3-9-0,0,12
28,244,24.00,141.00,120.00,114.00,16,4-8-0,0,12
29,1596,24.00,130.00,90.00,151.00,10,7-5-0,0,12
30,4130,24.00,114.00,80.00,102.00,14,5-7-0,0,12
31,3667,24.00,102.00,120.00,110.00,12,6-6-0,0,12
32,4395,24.00,94.00,120.00,93.00,18,3-9-0,0,12
33,4384,22.00,172.00,120.00,131.00,12,5-7-0,0,12
34,4044,22.00,145.00,50.00,107.00,14,4-8-0,0,12
35,894,22.00,68.00,90.00,126.00,14,4-8-0,0,12
36,1,20.00,132.00,120.00,141.00,10,5-7-0,0,12
37,3398,18.00,124.00,50.00,122.00,16,1-11-0,0,12
38,519,18.00,111.00,50.00,93.00,10,4-8-0,0,12
39,468,16.00,119.00,50.00,82.00,10,3-9-0,0,12
40,3619,12.00,90.00,30.00,81.00,10,1-11-0,0,12
