Rank,Team,QS,ASSIST,AUTO,T&C,TELEOP,Record (W-L-T),DQ,PLAYED
1,2607,16.00,230.00,402.00,190.00,273.00,8-1-0,0,9
2,1418,16.00,210.00,395.00,220.00,331.00,8-1-0,0,9
3,2363,16.00,200.00,300.00,210.00,180.00,8-1-0,0,9
4,384,16.00,180.00,355.00,140.00,522.00,8-1-0,0,9
5,1533,16.00,170.00,345.00,250.00,106.00,8-1-0,0,9
6,388,14.00,270.00,370.00,140.00,181.00,7-2-0,0,9
7,401,14.00,270.00,285.00,180.00,161.00,7-2-0,0,9
8,3939,14.00,110.00,352.00,90.00,225.00,7-2-0,0,9
9,422,13.00,190.00,265.00,150.00,75.00,6-2-1,0,9
10,1895,13.00,160.00,277.00,100.00,148.00,6-2-1,0,9
11,1598,12.00,240.00,217.00,80.00,139.00,6-3-0,0,9
12,1719,12.00,230.00,240.00,80.00,234.00,6-3-0,0,9
13,2053,12.00,220.00,380.00,110.00,141.00,6-3-0,0,9
14,2383,12.00,170.00,380.00,170.00,184.00,6-3-0,0,9
15,1629,12.00,170.00,276.00,120.00,435.00,6-3-0,0,9
16,5323,12.00,150.00,256.00,110.00,133.00,6-3-0,0,9
17,2107,12.00,140.00,289.00,130.00,179.00,6-3-0,0,9
18,1908,12.00,120.00,257.00,120.00,137.00,6-3-0,0,9
19,2106,12.00,50.00,224.00,100.00,215.00,6-3-0,0,9
20,1137,10.00,210.00,231.00,140.00,254.00,5-4-0,0,9
21,3072,10.00,200.00,185.00,140.00,105.00,5-4-0,0,9
22,346,10.00,170.00,343.00,110.00,93.00,5-4-0,0,9
23,1262,10.00,130.00,365.00,130.00,233.00,5-4-0,0,9
24,435,10.00,130.00,320.00,170.00,210.00,5-4-0,0,9
25,1086,10.00,130.00,317.00,120.00,106.00,5-4-0,0,9
26,3136,10.00,130.00,190.00,150.00,97.00,5-4-0,0,9
27,4969,10.00,90.00,277.00,90.00,175.00,5-4-0,0,9
28,3373,10.00,70.00,227.00,60.00,230.00,5-4-0,0,9
29,4286,10.00,40.00,222.00,100.00,208.00,5-4-0,0,9
30,540,9.00,220.00,193.00,50.00,115.00,4-4-1,0,9
31,1829,9.00,160.00,181.00,110.00,174.00,4-4-1,0,9
32,1793,9.00,120.00,225.00,90.00,196.00,4-4-1,0,9
33,614,9.00,90.00,198.00,60.00,181.00,4-4-1,0,9
34,1033,9.00,40.00,272.00,60.00,127.00,4-4-1,0,9
35,4472,8.00,200.00,215.00,100.00,180.00,4-5-0,0,9
36,1522,8.00,170.00,285.00,130.00,188.00,4-5-0,0,9
37,1541,8.00,150.00,319.00,50.00,201.00,4-5-0,0,9
38,2068,8.00,130.00,225.00,110.00,185.00,4-5-0,0,9
39,2402,8.00,110.00,246.00,80.00,134.00,4-5-0,0,9
40,2028,8.00,90.00,222.00,70.00,155.00,4-5-0,0,9
41,3872,8.00,90.00,180.00,60.00,252.00,4-5-0,0,9
42,1610,8.00,80.00,274.00,50.00,179.00,4-5-0,0,9
43,3307,8.00,80.00,221.00,100.00,141.00,4-5-0,0,9
44,611,7.00,80.00,268.00,130.00,232.00,3-5-1,0,9
45,2021,7.00,50.00,160.00,20.00,206.00,3-4-1,1,9
46,3709,7.00,40.00,90.00,70.00,110.00,3-5-1,0,9
47,122,6.00,200.00,259.00,50.00,154.00,3-6-0,0,9
48,539,6.00,190.00,185.00,50.00,213.00,3-6-0,0,9
49,617,6.00,180.00,181.00,120.00,139.00,3-6-0,0,9
50,3359,6.00,130.00,185.00,30.00,98.00,3-6-0,0,9
51,3361,6.00,60.00,146.00,60.00,207.00,3-5-0,1,9
52,4949,6.00,60.00,136.00,80.00,217.00,3-5-0,1,9
53,2988,5.00,100.00,155.00,70.00,105.00,2-6-1,0,9
54,5279,5.00,30.00,175.00,80.00,102.00,2-6-1,0,9
55,1095,4.00,80.00,219.00,60.00,123.00,2-7-0,0,9
56,3274,4.00,80.00,215.00,70.00,183.00,2-7-0,0,9
57,1599,4.00,80.00,202.00,40.00,261.00,2-7-0,0,9
58,3168,4.00,70.00,165.00,130.00,125.00,2-7-0,0,9
59,619,4.00,70.00,140.00,120.00,106.00,2-7-0,0,9
60,2186,4.00,60.00,221.00,30.00,167.00,2-7-0,0,9
61,4538,4.00,50.00,142.00,60.00,107.00,2-7-0,0,9
62,4714,4.00,30.00,172.00,50.00,187.00,2-6-0,1,9
63,2998,2.00,50.00,105.00,60.00,99.00,1-8-0,0,9
64,3258,0,110.00,192.00,10.00,32.00,0-9-0,0,9
