Rank,Team,Ranking Score,Auto,Scale/Challenge,Goals,Defense,Record (W-L-T),Played
1,33,36.0,240.0,205.0,322.0,585.0,11-1-0,12
2,1718,34.0,288.0,145.0,295.0,640.0,10-2-0,12
3,2337,34.0,282.0,145.0,192.0,645.0,10-2-0,12
4,217,33.0,242.0,175.0,347.0,565.0,10-2-0,12
5,910,29.0,280.0,130.0,223.0,620.0,9-3-0,12
6,3539,28.0,246.0,145.0,302.0,575.0,9-3-0,12
7,2851,27.0,246.0,145.0,187.0,620.0,6-6-0,12
8,6117,27.0,244.0,165.0,210.0,595.0,6-6-0,12
9,573,25.0,286.0,155.0,139.0,640.0,7-5-0,12
10,4810,25.0,206.0,115.0,103.0,545.0,8-4-0,12
11,5662,25.0,202.0,105.0,139.0,550.0,7-5-0,12
12,226,22.0,246.0,140.0,153.0,550.0,7-5-0,12
13,4961,22.0,210.0,165.0,111.0,525.0,8-4-0,12
14,6120,22.0,156.0,130.0,154.0,530.0,6-6-0,12
15,322,21.0,248.0,100.0,124.0,560.0,6-6-0,12
16,4811,21.0,222.0,110.0,98.0,530.0,8-4-0,12
17,240,20.0,286.0,140.0,118.0,580.0,6-6-0,12
18,469,20.0,260.0,125.0,143.0,580.0,7-5-0,12
19,6057,20.0,230.0,100.0,89.0,565.0,6-6-0,12
20,862,19.0,250.0,120.0,111.0,600.0,6-6-0,12
21,6108,19.0,246.0,125.0,146.0,550.0,5-7-0,12
22,5642,18.0,240.0,165.0,96.0,520.0,6-6-0,12
23,5008,18.0,204.0,115.0,112.0,495.0,6-6-0,12
24,6013,16.0,190.0,110.0,117.0,485.0,5-7-0,12
25,1528,15.0,222.0,70.0,81.0,530.0,5-7-0,12
26,5068,15.0,194.0,115.0,64.0,505.0,5-7-0,12
27,5619,15.0,188.0,160.0,132.0,500.0,4-8-0,12
28,5532,14.0,198.0,85.0,101.0,495.0,4-8-0,12
29,6099,13.0,220.0,135.0,79.0,520.0,4-8-0,12
30,5239,13.0,220.0,100.0,95.0,490.0,4-8-0,12
31,3398,13.0,182.0,115.0,149.0,500.0,3-9-0,12
32,5555,13.0,170.0,125.0,74.0,485.0,4-8-0,12
33,2591,13.0,164.0,95.0,75.0,505.0,4-8-0,12
34,6029,12.0,190.0,120.0,116.0,490.0,3-9-0,12
35,3096,12.0,190.0,110.0,82.0,470.0,4-8-0,12
36,5650,12.0,158.0,140.0,108.0,470.0,3-9-0,12
37,5065,11.0,166.0,90.0,74.0,455.0,3-8-0,12
38,4815,8.0,160.0,105.0,51.0,465.0,2-10-0,12
39,6136,8.0,96.0,75.0,22.0,290.0,3-5-0,12
