Rank,Team,QS,HP,BP,TP,CP,Record (W-L-T),DQ,Played
1,2439,32.00,108.00,70.00,91.00,16,8-4-0,0,12
2,1056,30.00,180.00,90.00,182.00,8,11-1-0,0,12
3,368,30.00,124.00,40.00,178.00,8,11-1-0,0,12
4,359,28.00,148.00,50.00,229.00,6,11-1-0,0,12
5,2445,24.00,125.00,0,76.00,8,8-4-0,0,12
6,2438,24.00,80.00,30.00,126.00,8,8-4-0,0,12
7,2459,24.00,62.00,30.00,89.00,8,8-4-0,0,12
8,2437,24.00,40.00,50.00,71.00,14,5-7-0,0,12
9,2443,23.00,109.00,80.00,77.00,8,7-4-1,0,12
10,2896,23.00,52.00,70.00,28.00,14,4-7-1,0,12
11,4270,21.00,61.00,10.00,62.00,8,6-5-1,0,12
12,2853,21.00,43.00,70.00,44.00,10,4-5-3,0,12
13,2090,20.00,129.00,40.00,132.00,4,8-4-0,0,12
14,3880,20.00,121.00,40.00,68.00,6,6-4-2,0,12
15,2348,20.00,82.00,30.00,79.00,6,7-5-0,0,12
16,4374,20.00,59.00,60.00,82.00,6,7-5-0,0,12
17,4158,20.00,48.00,90.00,57.00,10,4-6-2,0,12
18,1378,19.00,69.00,0,101.00,4,7-3-1,1,12
19,3879,19.00,39.00,40.00,71.00,6,6-5-1,0,12
20,3837,18.00,76.00,10.00,51.00,6,6-6-0,0,12
21,4218,18.00,65.00,50.00,76.00,8,5-7-0,0,12
22,3685,18.00,43.00,10.00,86.00,8,5-7-0,0,12
23,3008,17.00,120.00,50.00,132.00,2,7-4-1,0,12
24,4253,17.00,33.00,60.00,83.00,4,6-5-1,0,12
25,2460,14.00,68.00,10.00,103.00,4,5-7-0,0,12
26,3878,14.00,64.00,50.00,67.00,6,4-8-0,0,12
27,3800,14.00,55.00,10.00,45.00,2,5-4-2,1,12
28,2455,14.00,51.00,40.00,88.00,4,5-7-0,0,12
29,3881,13.00,46.00,50.00,54.00,6,3-8-1,0,12
30,2441,12.00,55.00,0,64.00,4,4-7-0,1,12
31,2504,12.00,42.00,30.00,57.00,4,3-7-2,0,12
32,2444,12.00,33.00,30.00,51.00,4,3-7-2,0,12
33,2465,11.00,128.00,30.00,62.00,2,4-7-1,0,12
34,3306,11.00,62.00,80.00,42.00,2,4-6-1,1,12
35,3882,11.00,37.00,0,50.00,6,2-9-1,0,12
36,3721,10.00,26.00,10.00,76.00,4,3-9-0,0,12
37,2477,10.00,14.00,0,21.00,6,2-10-0,0,12
38,1920,8.00,60.00,30.00,79.00,0,4-8-0,0,12
