Rank,Team,Ranking Score,Auto,Scale/Challenge,Goals,Defense,Record (W-L-T),DQ,Played
1,5813,11,94,25,142,205,4-0-0,0,4
2,88,11,70,15,51,185,4-0-0,0,4
3,4905,9,74,35,86,180,3-1-0,0,4
4,1519,8,114,35,78,225,2-2-0,0,4
5,166,8,100,40,85,185,3-1-0,0,4
6,131,8,94,45,90,210,2-2-0,0,4
7,238,8,89,40,67,200,2-2-0,0,4
8,4467,8,87,50,70,160,3-1-0,0,4
9,348,8,79,35,55,145,3-1-0,0,4
10,1729,7,84,45,60,205,2-2-0,0,4
11,151,7,78,25,31,155,3-1-0,0,4
12,138,7,72,60,52,160,3-1-0,0,4
13,1058,7,60,45,129,150,3-1-0,0,4
14,1289,7,44,45,63,150,3-1-0,0,4
15,509,6,76,35,48,175,2-2-0,0,4
16,5459,6,74,40,70,175,2-2-0,0,4
17,2876,5,76,30,58,155,2-2-0,0,4
18,1517,5,75,35,88,165,2-2-0,0,4
19,190,5,74,35,50,160,2-2-0,0,4
20,125,5,74,25,85,130,2-2-0,0,4
21,176,5,68,45,81,150,2-2-0,0,4
22,78,5,54,35,76,140,2-2-0,0,4
23,1073,4,84,30,28,185,1-3-0,0,4
24,172,4,84,20,69,160,1-3-0,0,4
25,5687,4,60,35,48,175,1-3-0,0,4
26,4909,3,79,40,35,155,1-3-0,0,4
27,319,3,78,30,97,170,1-3-0,0,4
28,3467,3,53,30,59,140,1-3-0,0,4
29,501,1,72,20,16,140,0-4-0,0,4
30,811,1,49,45,62,155,0-4-0,0,4
31,885,,52,25,10,105,0-4-0,0,4
