Rank,Team,QS,ASSIST,AUTO,T&C,TELEOP,Record (W-L-T),DQ,PLAYED
1,1218,20.00,320.00,400.00,270.00,576.00,10-1-0,0,11
2,3193,18.00,390.00,423.00,170.00,174.00,9-2-0,0,11
3,2852,18.00,340.00,380.00,260.00,295.00,9-2-0,0,11
4,2641,18.00,270.00,468.00,270.00,276.00,9-2-0,0,11
5,3260,16.00,450.00,430.00,300.00,467.00,8-3-0,0,11
6,3504,16.00,410.00,445.00,190.00,262.00,8-3-0,0,11
7,836,16.00,380.00,535.00,240.00,412.00,8-3-0,0,11
8,3410,16.00,340.00,494.00,260.00,239.00,8-3-0,0,11
9,4601,16.00,330.00,436.00,210.00,292.00,8-3-0,0,11
10,48,16.00,330.00,407.00,330.00,403.00,8-3-0,0,11
11,4050,16.00,250.00,341.00,130.00,512.00,8-3-0,0,11
12,4049,14.00,280.00,362.00,220.00,423.00,7-4-0,0,11
13,4467,14.00,260.00,407.00,220.00,304.00,7-4-0,0,11
14,4991,14.00,200.00,271.00,200.00,328.00,7-4-0,0,11
15,1708,14.00,160.00,395.00,140.00,457.00,7-4-0,0,11
16,4514,14.00,120.00,262.00,140.00,307.00,7-4-0,0,11
17,306,12.00,290.00,288.00,120.00,224.00,6-5-0,0,11
18,337,12.00,250.00,388.00,210.00,274.00,6-5-0,0,11
19,4266,12.00,230.00,332.00,130.00,400.00,6-5-0,0,11
20,3954,12.00,220.00,400.00,210.00,410.00,6-5-0,0,11
21,3511,12.00,160.00,258.00,170.00,259.00,6-5-0,0,11
22,4484,12.00,140.00,305.00,110.00,368.00,6-5-0,0,11
23,1503,10.00,300.00,259.00,260.00,213.00,5-6-0,0,11
24,2534,10.00,230.00,350.00,220.00,189.00,5-6-0,0,11
25,4150,10.00,230.00,334.00,110.00,207.00,5-6-0,0,11
26,4027,10.00,210.00,311.00,140.00,151.00,5-6-0,0,11
27,4032,10.00,190.00,367.00,180.00,208.00,5-6-0,0,11
28,771,10.00,170.00,411.00,120.00,249.00,5-6-0,0,11
29,117,10.00,110.00,247.00,100.00,328.00,5-6-0,0,11
30,4289,10.00,110.00,246.00,120.00,190.00,5-6-0,0,11
31,1501,8.00,300.00,310.00,240.00,340.00,4-7-0,0,11
32,4547,8.00,290.00,335.00,160.00,137.00,4-7-0,0,11
33,291,8.00,180.00,291.00,130.00,172.00,4-7-0,0,11
34,620,8.00,180.00,254.00,150.00,213.00,4-7-0,0,11
35,2172,8.00,160.00,268.00,100.00,258.00,4-7-0,0,11
36,4753,8.00,160.00,197.00,140.00,310.00,4-7-0,0,11
37,4031,8.00,150.00,272.00,160.00,252.00,4-7-0,0,11
38,2028,8.00,140.00,378.00,190.00,372.00,4-7-0,0,11
39,4615,8.00,110.00,257.00,120.00,378.00,4-7-0,0,11
40,2051,8.00,100.00,252.00,90.00,264.00,4-7-0,0,11
41,2656,6.00,150.00,333.00,130.00,241.00,3-8-0,0,11
42,3955,6.00,140.00,392.00,110.00,264.00,3-8-0,0,11
43,3062,6.00,140.00,253.00,160.00,229.00,3-8-0,0,11
44,156,6.00,110.00,301.00,140.00,237.00,3-8-0,0,11
45,3962,6.00,100.00,231.00,110.00,190.00,3-8-0,0,11
46,1743,4.00,70.00,266.00,100.00,196.00,2-9-0,0,11
47,3957,4.00,60.00,238.00,120.00,122.00,2-9-0,0,11
48,3567,2.00,110.00,258.00,90.00,144.00,1-10-0,0,11
