Rank,Team,QS,ASSIST,AUTO,T&C,TELEOP,Record (W-L-T),DQ,PLAYED
1,525,22.00,500.00,476.00,270.00,588.00,11-1-0,0,12
2,1736,21.00,350.00,401.00,290.00,400.00,10-1-1,0,12
3,1986,20.00,580.00,475.00,200.00,475.00,10-2-0,0,12
4,1806,19.00,320.00,485.00,330.00,414.00,9-2-1,0,12
5,1756,17.00,350.00,426.00,280.00,519.00,8-3-1,0,12
6,1747,16.00,420.00,480.00,130.00,456.00,8-4-0,0,12
7,171,16.00,360.00,357.00,210.00,389.00,8-4-0,0,12
8,2081,16.00,280.00,346.00,210.00,531.00,8-4-0,0,12
9,167,14.00,460.00,425.00,230.00,312.00,7-5-0,0,12
10,2481,14.00,320.00,391.00,170.00,330.00,7-5-0,0,12
11,967,14.00,310.00,475.00,280.00,266.00,7-5-0,0,12
12,2704,14.00,290.00,370.00,150.00,325.00,7-5-0,0,12
13,2451,14.00,250.00,395.00,220.00,442.00,7-5-0,0,12
14,4256,12.00,430.00,326.00,230.00,461.00,6-6-0,0,12
15,1208,12.00,410.00,332.00,230.00,387.00,6-6-0,0,12
16,4143,12.00,380.00,435.00,280.00,266.00,6-6-0,0,12
17,2039,12.00,360.00,320.00,170.00,363.00,6-6-0,0,12
18,4212,12.00,330.00,371.00,170.00,336.00,6-6-0,0,12
19,3138,12.00,290.00,325.00,160.00,415.00,6-6-0,0,12
20,2022,12.00,280.00,397.00,170.00,298.00,6-6-0,0,12
21,2164,12.00,280.00,395.00,100.00,387.00,6-6-0,0,12
22,1764,12.00,270.00,455.00,150.00,234.00,6-6-0,0,12
23,3352,12.00,250.00,331.00,140.00,303.00,6-6-0,0,12
24,4196,12.00,180.00,385.00,100.00,326.00,6-6-0,0,12
25,3284,11.00,240.00,465.00,160.00,265.00,5-6-1,0,12
26,1091,10.00,270.00,280.00,160.00,357.00,5-7-0,0,12
27,4786,10.00,260.00,378.00,150.00,240.00,5-7-0,0,12
28,292,10.00,220.00,436.00,120.00,310.00,5-7-0,0,12
29,1288,10.00,220.00,400.00,150.00,507.00,5-7-0,0,12
30,1094,8.00,320.00,472.00,140.00,203.00,4-8-0,0,12
31,648,8.00,310.00,261.00,60.00,485.00,4-8-0,0,12
32,2040,8.00,280.00,306.00,120.00,392.00,4-8-0,0,12
33,4213,8.00,210.00,485.00,180.00,240.00,4-8-0,0,12
34,4296,8.00,180.00,285.00,160.00,244.00,4-8-0,0,12
35,4655,8.00,170.00,295.00,170.00,335.00,4-8-0,0,12
36,4330,8.00,130.00,357.00,130.00,545.00,4-8-0,0,12
37,5041,7.00,190.00,350.00,200.00,313.00,3-8-1,0,12
38,1739,6.00,200.00,370.00,140.00,266.00,3-9-0,0,12
39,4329,6.00,160.00,381.00,190.00,244.00,3-9-0,0,12
40,2194,5.00,150.00,406.00,100.00,222.00,2-9-1,0,12
