Rank,Team,QS,HP,BP,TP,CP,Record (W-L-T),DQ,Played
1,67,44.00,207.00,130.00,249.00,20,12-0-0,0,12
2,2337,34.00,171.00,90.00,150.00,18,8-4-0,0,12
3,548,31.00,197.00,70.00,204.00,16,7-4-1,0,12
4,302,31.00,168.00,120.00,116.00,14,8-3-1,0,12
5,1250,31.00,165.00,70.00,77.00,14,8-3-1,0,12
6,1076,30.00,131.00,50.00,190.00,14,8-4-0,0,12
7,1684,30.00,126.00,100.00,141.00,14,8-4-0,0,12
8,703,30.00,94.00,110.00,118.00,18,5-5-2,0,12
9,4294,29.00,95.00,120.00,100.00,14,7-4-1,0,12
10,573,28.00,146.00,120.00,181.00,10,9-3-0,0,12
11,308,28.00,137.00,110.00,162.00,12,8-4-0,0,12
12,835,28.00,126.00,170.00,112.00,12,8-4-0,0,12
13,68,28.00,125.00,120.00,131.00,12,8-4-0,0,12
14,3098,28.00,124.00,100.00,136.00,10,9-3-0,0,12
15,4362,28.00,79.00,70.00,100.00,18,5-7-0,0,12
16,830,24.00,153.00,100.00,142.00,14,5-7-0,0,12
17,3535,24.00,107.00,100.00,66.00,14,5-7-0,0,12
18,4130,24.00,104.00,120.00,88.00,14,5-7-0,0,12
19,4405,23.00,111.00,100.00,80.00,12,5-6-1,0,12
20,3414,23.00,108.00,90.00,120.00,10,6-5-1,0,12
21,240,22.00,185.00,50.00,118.00,10,6-6-0,0,12
22,1322,22.00,157.00,140.00,112.00,8,7-5-0,0,12
23,3773,22.00,119.00,60.00,80.00,10,6-6-0,0,12
24,2612,22.00,116.00,40.00,59.00,10,6-6-0,0,12
25,470,22.00,104.00,120.00,129.00,12,5-7-0,0,12
26,1502,22.00,76.00,110.00,90.00,10,6-6-0,0,12
27,3002,22.00,66.00,80.00,80.00,14,4-8-0,0,12
28,66,21.00,106.00,110.00,78.00,12,4-7-1,0,12
29,2153,21.00,66.00,50.00,126.00,14,3-8-1,0,12
30,4216,20.00,106.00,100.00,63.00,8,6-6-0,0,12
31,3656,20.00,104.00,80.00,117.00,10,5-7-0,0,12
32,3768,20.00,95.00,40.00,52.00,10,5-7-0,0,12
33,3415,20.00,89.00,20.00,89.00,16,2-10-0,0,12
34,3707,18.00,148.00,60.00,102.00,4,7-5-0,0,12
35,3604,18.00,134.00,30.00,91.00,12,3-9-0,0,12
36,3641,17.00,82.00,140.00,136.00,8,4-7-1,0,12
37,2145,17.00,70.00,100.00,76.00,10,3-8-1,0,12
38,3770,14.00,106.00,20.00,110.00,12,1-11-0,0,12
39,3536,14.00,72.00,90.00,66.00,6,4-8-0,0,12
40,3668,10.00,110.00,70.00,84.00,4,3-9-0,0,12
