Rank,Team,QS,HP,BP,TP,CP,Record (W-L-T),DQ,Played
1,1519,29.00,65.00,100.00,94.00,16,6-3-1,0,10
2,2614,28.00,100.00,60.00,163.00,10,9-1-0,0,10
3,1086,28.00,68.00,120.00,105.00,12,8-2-0,0,10
4,339,27.00,74.00,40.00,76.00,14,6-3-1,0,10
5,900,26.00,94.00,90.00,54.00,12,7-3-0,0,10
6,122,26.00,67.00,80.00,158.00,10,8-2-0,0,10
7,435,25.00,80.00,80.00,52.00,10,7-2-1,0,10
8,422,25.00,46.00,60.00,106.00,12,6-3-1,0,10
9,1311,24.00,126.00,60.00,141.00,10,7-3-0,0,10
10,1225,24.00,96.00,60.00,88.00,10,6-2-2,0,10
11,3196,23.00,111.00,40.00,108.00,8,7-2-1,0,10
12,1598,23.00,75.00,50.00,68.00,12,5-4-1,0,10
13,166,22.00,88.00,80.00,82.00,6,8-2-0,0,10
14,587,22.00,85.00,70.00,61.00,10,6-4-0,0,10
15,337,22.00,71.00,80.00,102.00,8,7-3-0,0,10
16,1249,22.00,71.00,80.00,60.00,10,6-4-0,0,10
17,3737,22.00,23.00,80.00,56.00,14,4-6-0,0,10
18,3811,20.00,29.00,40.00,39.00,12,4-6-0,0,10
19,1413,18.00,111.00,20.00,77.00,10,4-6-0,0,10
20,1771,18.00,110.00,80.00,116.00,4,7-3-0,0,10
21,138,18.00,102.00,50.00,108.00,4,7-3-0,0,10
22,2642,18.00,82.00,60.00,68.00,8,5-5-0,0,10
23,3971,18.00,79.00,60.00,50.00,8,4-4-2,0,10
24,2363,18.00,70.00,40.00,65.00,8,5-5-0,0,10
25,1758,18.00,48.00,50.00,55.00,10,3-5-2,0,10
26,281,17.00,47.00,50.00,61.00,4,6-3-1,0,10
27,3402,16.00,81.00,30.00,85.00,6,5-5-0,0,10
28,2655,16.00,76.00,70.00,64.00,6,5-5-0,0,10
29,3540,16.00,44.00,50.00,73.00,8,4-6-0,0,10
30,4083,16.00,43.00,80.00,84.00,8,4-6-0,0,10
31,3763,16.00,42.00,70.00,65.00,6,5-5-0,0,10
32,3346,16.00,39.00,70.00,77.00,6,5-5-0,0,10
33,3270,16.00,15.00,60.00,70.00,6,5-5-0,0,10
34,3661,15.00,46.00,30.00,39.00,6,4-4-1,1,10
35,401,14.00,104.00,60.00,91.00,2,6-4-0,0,10
36,3229,14.00,68.00,60.00,63.00,6,4-6-0,0,10
37,3796,14.00,54.00,40.00,47.00,8,3-7-0,0,10
38,1533,14.00,52.00,30.00,46.00,8,3-7-0,0,10
39,3336,14.00,47.00,70.00,55.00,4,4-4-2,0,10
40,3331,14.00,27.00,40.00,50.00,8,3-7-0,0,10
41,3459,13.00,85.00,50.00,109.00,4,4-5-1,0,10
42,4291,13.00,67.00,70.00,54.00,2,5-4-1,0,10
43,2483,13.00,51.00,20.00,42.00,8,2-7-1,0,10
44,4339,12.00,56.00,30.00,49.00,6,3-7-0,0,10
45,2059,12.00,49.00,30.00,75.00,8,2-8-0,0,10
46,3701,12.00,32.00,40.00,84.00,6,3-7-0,0,10
47,3845,12.00,28.00,20.00,36.00,6,2-6-2,0,10
48,3822,11.00,44.00,30.00,101.00,6,2-7-1,0,10
49,3506,10.00,60.00,50.00,49.00,4,3-7-0,0,10
50,3493,10.00,59.00,10.00,56.00,6,2-8-0,0,10
51,3215,10.00,28.00,40.00,64.00,2,4-6-0,0,10
52,4016,8.00,30.00,30.00,40.00,4,2-8-0,0,10
53,3680,6.00,53.00,0,72.00,2,1-7-2,0,10
