Rank,Team,Wins,Losses,Ties,Played,QS,RS
1,1985,10,1,0,11,20.00,36.00
2,3284,10,1,0,11,20.00,24.00
3,931,9,2,0,11,18.00,23.54
4,1329,7,4,0,11,14.00,30.81
5,1094,7,4,0,11,14.00,22.63
6,3792,7,4,0,11,14.00,21.36
7,1706,7,3,0,10,14.00,18.63
8,2838,6,4,1,11,13.00,21.27
9,1182,6,5,0,11,12.00,32.00
10,1658,6,4,0,10,12.00,18.09
11,2893,6,5,0,11,12.00,16.54
12,1098,5,5,1,11,11.00,32.36
13,3519,5,5,1,11,11.00,17.81
14,1208,5,6,0,11,10.00,21.81
15,2408,5,6,0,11,10.00,17.09
16,1178,5,6,0,11,10.00,16.81
17,3397,5,5,0,10,10.00,14.81
18,2902,4,6,1,11,9.00,16.00
19,1723,4,7,0,11,8.00,22.00
20,3858,4,7,0,11,8.00,21.63
21,2978,4,7,0,11,8.00,20.18
22,3686,4,7,0,11,8.00,17.36
23,1444,4,6,0,10,8.00,15.36
24,3868,4,7,0,11,8.00,13.63
25,3862,3,5,1,9,7.00,9.45
26,1288,3,7,0,10,6.00,19.45
27,2917,3,8,0,11,6.00,14.27
28,3330,2,9,0,11,4.00,12.18
