Rank,Team,Ranking Score,End Game,Auto,Ownership,Vault,Record (W-L-T),DQ,Played
1,2791,3,350,214,1511,145,5-0-0,0,5
2,1493,2.2,265,187,1239,165,4-1-0,0,5
3,5254b,2,300,130,1074,135,4-1-0,0,5
4,5099,2,300,125,1158,115,4-1-0,0,5
5,5254,2,290,147,1288,85,4-1-0,0,5
6,5030,1.8,270,194,1013,140,2-3-0,0,5
7,6933,1.8,185,149,893,120,3-2-0,0,5
8,6300,1.6,245,155,840,130,2-3-0,0,5
9,145,1.6,245,102,1168,140,4-1-0,0,5
10,1511,1.6,220,160,1013,155,2-3-0,0,5
11,250,1.6,220,103,884,115,3-2-0,0,5
12,7718,1.6,215,115,857,90,3-2-0,0,5
13,7153,1.4,220,166,1070,105,2-3-0,0,5
14,5964,1.4,190,131,607,180,2-3-0,0,5
15,6484,1.2,220,118,928,125,2-3-0,0,5
16,3044,1.2,210,137,900,115,2-3-0,0,5
17,7030,1.2,200,97,770,105,2-3-0,0,5
18,716,1,220,140,967,110,1-4-0,0,5
19,4203,1,210,93,848,120,2-3-0,0,5
20,5943,1,155,119,956,40,2-3-0,0,5
21,263,0.8,250,64,738,100,2-3-0,0,5
22,5881,0.8,220,115,801,105,1-4-0,0,5
23,20,0.8,210,142,882,90,1-4-0,0,5
24,6723,0.8,185,104,755,75,1-4-0,0,5
