Rank,Team,QS,HP,BP,TP,CP,Record (W-L-T),DQ,Played
1,180,26.00,134.00,60.00,138.00,8,9-1-0,0,10
2,233,25.00,47.00,60.00,55.00,12,6-3-1,0,10
3,1065,24.00,124.00,20.00,145.00,6,9-1-0,0,10
4,103,24.00,113.00,60.00,137.00,7,8-1-1,0,10
5,1523,22.00,126.00,60.00,108.00,8,7-3-0,0,10
6,744,22.00,114.00,30.00,134.00,6,8-2-0,0,10
7,3502,22.00,60.00,70.00,48.00,8,7-3-0,0,10
8,3998,22.00,40.00,40.00,69.00,7,7-2-1,0,10
9,1251,21.00,73.00,30.00,97.00,10,5-4-1,0,10
10,2383,20.00,76.00,60.00,56.00,6,7-3-0,0,10
11,2797,20.00,62.00,90.00,66.00,4,8-2-0,0,10
12,79,20.00,45.00,40.00,69.00,8,6-4-0,0,10
13,3242,19.00,104.00,50.00,62.00,7,6-4-0,0,10
14,342,18.00,117.00,60.00,110.00,4,7-3-0,0,10
15,108,17.00,93.00,30.00,57.00,4,6-3-1,0,10
16,3011,17.00,27.00,80.00,44.00,8,4-5-1,0,10
17,1902,16.00,123.00,50.00,94.00,4,6-4-0,0,10
18,1592,16.00,98.00,30.00,174.00,2,7-3-0,0,10
19,4066,16.00,83.00,20.00,73.00,4,6-4-0,0,10
20,945,16.00,80.00,10.00,69.00,4,6-4-0,0,10
21,25,16.00,73.00,50.00,69.00,6,5-5-0,0,10
22,2556,16.00,67.00,50.00,58.00,4,6-4-0,0,10
23,4091,16.00,51.00,40.00,82.00,4,6-4-0,0,10
24,3132,15.00,24.00,60.00,39.00,4,4-3-3,0,10
25,3627,14.00,71.00,30.00,58.00,6,4-6-0,0,10
26,1557,14.00,69.00,40.00,60.00,5,4-5-1,0,10
27,801,14.00,66.00,70.00,93.00,2,6-4-0,0,10
28,86,14.00,48.00,30.00,41.00,8,3-7-0,0,10
29,179,14.00,40.00,50.00,90.00,0,7-3-0,0,10
30,386,14.00,34.00,50.00,46.00,8,3-7-0,0,10
31,3376,13.00,49.00,30.00,60.00,6,3-6-1,0,10
32,2916,13.00,41.00,10.00,47.00,4,4-5-1,0,10
33,4013,13.00,12.00,60.00,36.00,3,5-5-0,0,10
34,3489,12.00,76.00,40.00,59.00,2,5-5-0,0,10
35,665,12.00,71.00,20.00,69.00,4,3-5-2,0,10
36,4064,12.00,63.00,70.00,62.00,1,5-4-1,0,10
37,1649,12.00,48.00,20.00,100.00,0,6-4-0,0,10
38,4133,12.00,48.00,20.00,81.00,4,4-6-0,0,10
39,4333,12.00,41.00,70.00,57.00,4,4-6-0,0,10
40,3782,12.00,38.00,40.00,36.00,2,5-5-0,0,10
41,3557,12.00,34.00,40.00,50.00,2,5-5-0,0,10
42,4197,12.00,34.00,20.00,45.00,6,3-7-0,0,10
43,4190,12.00,33.00,20.00,49.00,5,3-5-1,1,10
44,3556,11.00,91.00,40.00,60.00,4,3-6-1,0,10
45,1612,11.00,54.00,0,53.00,4,3-6-1,0,10
46,4352,11.00,53.00,40.00,49.00,2,4-5-1,0,10
47,21,11.00,35.00,60.00,66.00,1,5-5-0,0,10
48,3164,10.00,82.00,40.00,59.00,0,5-5-0,0,10
49,4222,10.00,72.00,20.00,76.00,0,5-5-0,0,10
50,4321,10.00,57.00,30.00,84.00,0,5-4-0,1,10
51,1875,10.00,51.00,40.00,70.00,2,4-6-0,0,10
52,4214,10.00,47.00,30.00,79.00,4,3-7-0,0,10
53,3611,10.00,45.00,30.00,46.00,4,3-7-0,0,10
54,2152,10.00,24.00,60.00,48.00,4,3-7-0,0,10
55,4065,9.00,34.00,40.00,45.00,2,3-6-1,0,10
56,2757,9.00,27.00,20.00,59.00,0,4-5-1,0,10
57,3659,8.00,36.00,20.00,70.00,2,3-6-0,1,10
58,4024,8.00,33.00,40.00,67.00,2,3-6-0,1,10
59,3790,7.00,41.00,20.00,56.00,3,2-8-0,0,10
60,1604,7.00,6.00,30.00,26.00,5,0-8-2,0,10
61,3410,6.00,47.00,20.00,62.00,0,3-7-0,0,10
62,1543,6.00,40.00,40.00,26.00,2,2-8-0,0,10
63,4223,6.00,32.00,20.00,24.00,4,1-4-0,5,10
