Rank,Team,Wins,Losses,Ties,Played,QS,RS,MP
1,121,9,1,0,10,18.00,47.80,90
2,1058,9,1,0,10,18.00,36.60,90
3,1512,8,2,0,10,16.00,45.20,92
4,1519,8,2,0,10,16.00,43.40,72
5,131,7,2,1,10,15.00,42.80,72
6,40,7,2,1,10,15.00,34.80,90
7,126,7,3,0,10,14.00,44.60,82
8,501,7,3,0,10,14.00,42.20,68
9,175,7,3,0,10,14.00,40.00,86
10,138,7,3,0,10,14.00,36.60,66
11,58,6,3,1,10,13.00,45.00,92
12,1153,6,3,1,10,13.00,39.00,68
13,2370,6,4,0,10,12.00,41.60,66
14,2342,6,4,0,10,12.00,37.60,82
15,1073,6,4,0,10,12.00,35.60,90
16,1721,6,4,0,10,12.00,30.60,74
17,1276,5,4,1,10,11.00,30.20,68
18,1289,5,4,1,10,11.00,28.60,54
19,181,5,5,0,10,10.00,37.60,70
20,1991,5,5,0,10,10.00,36.80,74
21,319,5,5,0,10,10.00,36.60,80
22,1100,5,5,0,10,10.00,35.80,52
23,500,5,5,0,10,10.00,34.00,66
24,238,5,5,0,10,10.00,30.20,68
25,1027,5,5,0,10,10.00,28.00,70
26,172,5,5,0,10,10.00,26.20,66
27,811,4,5,1,10,9.00,32.00,60
28,1517,4,6,0,10,8.00,39.80,60
29,1824,4,6,0,10,8.00,38.40,62
30,166,4,6,0,10,8.00,33.20,56
31,663,4,6,0,10,8.00,32.60,70
32,2648,4,6,0,10,8.00,32.40,52
33,562,4,6,0,10,8.00,32.20,90
34,885,4,6,0,10,8.00,31.00,62
35,151,4,6,0,10,8.00,26.60,64
36,1307,3,6,1,10,7.00,37.20,70
37,1831,3,6,1,10,7.00,32.80,52
38,190,3,6,1,10,7.00,28.60,86
39,95,3,6,1,10,7.00,25.40,62
40,42,3,7,0,10,6.00,39.60,70
41,1277,3,7,0,10,6.00,34.80,72
42,1922,3,7,0,10,6.00,33.20,66
43,1247,3,7,0,10,6.00,33.00,92
44,529,3,7,0,10,6.00,27.20,56
45,509,3,7,0,10,6.00,21.60,56
46,241,2,7,1,10,5.00,23.00,56
47,134,2,8,0,10,4.00,33.40,74
48,133,2,8,0,10,4.00,30.80,72
