Rank,Team,Wins,Losses,Ties,Played,QS,RS,MP
1,935,7,1,0,8,14.00,38.62,80
2,3037,7,1,0,8,14.00,37.75,66
3,1158,6,2,0,8,12.00,44.12,104
4,2424,6,2,0,8,12.00,43.00,92
5,2468,6,2,0,8,12.00,42.37,85
6,704,6,2,0,8,12.00,41.00,82
7,1742,6,2,0,8,12.00,39.62,81
8,148,6,2,0,8,12.00,38.62,96
9,1296,6,2,0,8,12.00,37.25,104
10,2354,6,2,0,8,12.00,34.87,70
11,1745,6,2,0,8,12.00,33.37,104
12,2585,5,3,0,8,10.00,46.12,82
13,2995,5,3,0,8,10.00,44.12,69
14,2721,5,3,0,8,10.00,41.12,52
15,1561,5,3,0,8,10.00,37.75,86
16,2391,5,3,0,8,10.00,37.75,70
17,2283,5,3,0,8,10.00,36.50,86
18,418,5,3,0,8,10.00,35.37,92
19,2747,5,3,0,8,10.00,34.75,76
20,2743,5,3,0,8,10.00,33.00,96
21,437,4,4,0,8,8.00,48.75,82
22,2864,4,4,0,8,8.00,45.50,69
23,2805,4,4,0,8,8.00,37.75,78
24,31,4,4,0,8,8.00,37.62,70
25,2735,4,4,0,8,8.00,36.75,96
26,2469,4,4,0,8,8.00,36.50,96
27,2841,4,4,0,8,8.00,36.50,74
28,3106,4,4,0,8,8.00,35.25,64
29,2848,4,4,0,8,8.00,33.62,96
30,476,4,4,0,8,8.00,33.25,63
31,2461,4,4,0,8,8.00,32.50,70
32,2953,4,4,0,8,8.00,30.75,60
33,660,4,4,0,8,8.00,26.00,96
34,647,3,5,0,8,6.00,38.12,61
35,932,3,5,0,8,6.00,36.87,69
36,2982,3,5,0,8,6.00,35.62,75
37,2985,3,5,0,8,6.00,35.62,57
38,2947,3,5,0,8,6.00,30.87,60
39,2897,3,5,0,8,6.00,25.25,85
40,2943,2,6,0,8,4.00,41.00,74
41,2352,2,6,0,8,4.00,40.62,78
42,1642,2,6,0,8,4.00,34.12,85
43,3043,2,6,0,8,4.00,34.00,76
44,2965,2,6,0,8,4.00,32.50,52
45,1817,2,6,0,8,4.00,31.00,78
46,2948,2,6,0,8,4.00,24.00,54
47,2787,1,7,0,8,2.00,40.75,76
48,3005,1,7,0,8,2.00,32.25,46
49,2789,1,7,0,8,2.00,28.50,73
50,2950,0,8,0,8,0,28.25,56
