Rank,Team,QS,AP,CP,TP,Record (W-L-T),DQ,Played
1,70,21.00,384.00,190.00,210.00,10-1-1,0,12
2,862,21.00,288.00,240.00,410.00,10-1-1,0,12
3,302,18.00,306.00,80.00,228.00,9-3-0,0,12
4,3656,18.00,296.00,160.00,301.00,9-3-0,0,12
5,1684,18.00,202.00,80.00,339.00,9-3-0,0,12
6,1189,17.00,308.00,170.00,194.00,8-3-1,0,12
7,3707,17.00,170.00,210.00,145.00,8-3-1,0,12
8,3322,16.00,282.00,70.00,269.00,8-4-0,0,12
9,314,16.00,264.00,170.00,233.00,8-4-0,0,12
10,2604,16.00,174.00,150.00,151.00,8-4-0,0,12
11,4819,16.00,154.00,470.00,133.00,8-4-0,0,12
12,326,15.00,304.00,120.00,189.00,7-4-1,0,12
13,68,14.00,296.00,160.00,304.00,7-5-0,0,12
14,4405,14.00,204.00,230.00,206.00,7-5-0,0,12
15,1243,14.00,156.00,170.00,239.00,7-5-0,0,12
16,468,12.00,194.00,250.00,209.00,6-6-0,0,12
17,3535,12.00,190.00,90.00,171.00,6-6-0,0,12
18,1322,12.00,166.00,150.00,256.00,6-6-0,0,12
19,3534,12.00,140.00,150.00,151.00,6-6-0,0,12
20,4216,12.00,138.00,160.00,163.00,6-6-0,0,12
21,3421,12.00,136.00,170.00,172.00,6-6-0,0,12
22,1504,11.00,224.00,200.00,205.00,5-6-1,0,12
23,4776,11.00,164.00,120.00,227.00,5-6-1,0,12
24,1502,10.00,210.00,180.00,155.00,5-7-0,0,12
25,3667,10.00,196.00,140.00,133.00,5-7-0,0,12
26,2337,10.00,144.00,150.00,171.00,4-6-2,0,12
27,910,9.00,178.00,110.00,186.00,4-7-1,0,12
28,4382,9.00,142.00,120.00,205.00,4-7-1,0,12
29,3568,8.00,184.00,150.00,130.00,4-8-0,0,12
30,703,8.00,158.00,200.00,173.00,4-8-0,0,12
31,1506,8.00,134.00,70.00,212.00,4-8-0,0,12
32,3415,8.00,108.00,80.00,144.00,4-8-0,0,12
33,4838,8.00,100.00,100.00,140.00,4-8-0,0,12
34,3668,8.00,98.00,130.00,79.00,4-8-0,0,12
35,3773,8.00,56.00,190.00,103.00,4-8-0,0,12
36,4294,6.00,122.00,110.00,91.00,3-9-0,0,12
37,894,6.00,104.00,140.00,120.00,3-9-0,0,12
38,322,5.00,128.00,100.00,89.00,2-9-1,0,12
39,818,2.00,106.00,100.00,123.00,1-11-0,0,12
