Rank,Team,Wins,Losses,Ties,Played,QS,RS
1,2016,9,1,0,10,18.00,49.60
2,3539,9,1,0,10,18.00,41.60
3,2054,9,1,0,10,18.00,40.70
4,1014,9,1,0,10,18.00,39.60
5,330,8,2,0,10,16.00,65.30
6,177,8,2,0,10,16.00,52.80
7,1477,8,2,0,10,16.00,52.60
8,3098,8,2,0,10,16.00,52.40
9,155,8,2,0,10,16.00,49.90
10,118,8,2,0,10,16.00,49.10
11,1718,8,2,0,10,16.00,47.00
12,33,7,3,0,10,14.00,55.40
13,1918,7,3,0,10,14.00,53.40
14,876,7,3,0,10,14.00,51.00
15,3010,7,3,0,10,14.00,49.40
16,435,7,3,0,10,14.00,47.90
17,3481,7,3,0,10,14.00,38.60
18,2169,7,3,0,10,14.00,36.70
19,1629,7,3,0,10,14.00,30.80
20,229,6,4,0,10,12.00,60.10
21,74,6,4,0,10,12.00,58.30
22,360,6,4,0,10,12.00,56.20
23,1023,6,4,0,10,12.00,56.20
24,2984,6,4,0,10,12.00,51.90
25,3506,6,4,0,10,12.00,48.90
26,191,6,4,0,10,12.00,46.40
27,1640,6,3,0,9,12.00,43.80
28,3747,6,4,0,10,12.00,38.30
29,1270,6,4,0,10,12.00,35.20
30,2549,6,4,0,10,12.00,33.10
31,3616,6,4,0,10,12.00,29.60
32,1182,6,4,0,10,12.00,26.70
33,846,5,5,0,10,10.00,52.30
34,781,5,5,0,10,10.00,51.90
35,1912,5,5,0,10,10.00,47.90
36,1510,5,5,0,10,10.00,47.00
37,701,5,5,0,10,10.00,46.40
38,1899,5,5,0,10,10.00,46.20
39,1482,5,5,0,10,10.00,46.10
40,3704,5,5,0,10,10.00,43.10
41,931,5,5,0,10,10.00,41.90
42,597,5,5,0,10,10.00,40.80
43,1323,5,5,0,10,10.00,40.40
44,203,5,5,0,10,10.00,40.40
45,503,5,5,0,10,10.00,38.70
46,1065,5,5,0,10,10.00,38.60
47,1518,5,5,0,10,10.00,37.90
48,190,5,5,0,10,10.00,37.40
49,1000,5,5,0,10,10.00,35.20
50,2512,4,6,0,10,8.00,59.90
51,303,4,5,0,9,8.00,56.00
52,2175,4,6,0,10,8.00,51.50
53,1690,4,6,0,10,8.00,47.70
54,3494,4,6,0,10,8.00,46.60
55,3467,4,6,0,10,8.00,44.50
56,238,4,6,0,10,8.00,43.30
57,3337,4,6,0,10,8.00,42.80
58,2022,4,6,0,10,8.00,42.70
59,930,4,6,0,10,8.00,41.70
60,131,4,6,0,10,8.00,39.40
61,537,4,5,0,9,8.00,36.50
62,862,4,6,0,10,8.00,36.30
63,3256,4,5,0,9,8.00,34.20
64,1535,4,6,0,10,8.00,32.90
65,1547,4,6,0,10,8.00,31.30
66,3351,4,6,0,10,8.00,29.70
67,766,4,6,0,10,8.00,29.30
68,45,4,4,0,8,8.00,28.70
69,1622,3,7,0,10,6.00,56.70
70,3642,3,7,0,10,6.00,49.90
71,3017,3,7,0,10,6.00,47.50
72,2949,3,7,0,10,6.00,44.90
73,167,3,7,0,10,6.00,40.00
74,3322,3,7,0,10,6.00,38.90
75,771,3,7,0,10,6.00,38.70
76,932,3,7,0,10,6.00,37.90
77,2500,3,6,0,9,6.00,37.70
78,3462,3,7,0,10,6.00,34.30
79,108,3,7,0,10,6.00,26.20
80,1811,3,7,0,10,6.00,26.10
81,1138,3,5,0,8,6.00,22.80
82,3756,2,6,0,8,4.00,37.80
83,3694,2,8,0,10,4.00,34.20
84,2543,2,7,0,9,4.00,25.40
85,440,1,9,0,10,2.00,37.70
86,677,1,9,0,10,2.00,31.20
87,3596,0,10,0,10,0,56.80
88,2972,0,10,0,10,0,27.10
