Rank,Team,Ranking Score,Auto,Scale/Challenge,Goals,Defense,Record (W-L-T),Played
1,225,39.0,334.0,210.0,481.0,640.0,11-1-0,12
2,708,35.0,247.0,245.0,273.0,615.0,8-4-0,12
3,1640,33.0,345.0,150.0,453.0,610.0,10-2-0,12
4,5401,33.0,246.0,225.0,254.0,635.0,8-4-0,12
5,365,32.0,270.0,165.0,388.0,580.0,11-1-0,12
6,4653,30.0,310.0,175.0,221.0,635.0,7-4-1,12
7,4342,30.0,288.0,160.0,263.0,650.0,8-3-1,12
8,1143,29.0,314.0,170.0,391.0,645.0,6-5-1,12
9,4954,29.0,298.0,180.0,264.0,655.0,8-4-0,12
10,5404,27.0,260.0,165.0,288.0,630.0,7-5-0,12
11,5407,26.0,317.0,150.0,216.0,620.0,7-5-0,12
12,4637,26.0,230.0,125.0,196.0,630.0,7-5-0,12
13,486,25.0,318.0,155.0,165.0,680.0,6-6-0,12
14,5181,25.0,312.0,165.0,200.0,660.0,6-6-0,12
15,316,25.0,276.0,140.0,183.0,615.0,7-5-0,12
16,433,25.0,258.0,160.0,225.0,620.0,6-6-0,12
17,103,25.0,176.0,155.0,248.0,530.0,5-7-0,12
18,2559,24.0,288.0,135.0,239.0,625.0,6-6-0,12
19,484,24.0,280.0,165.0,245.0,615.0,6-6-0,12
20,1712,24.0,262.0,140.0,230.0,615.0,5-7-0,12
21,2539,23.0,294.0,175.0,197.0,630.0,5-7-0,12
22,423,23.0,288.0,175.0,234.0,630.0,5-7-0,12
23,1218,23.0,262.0,165.0,267.0,615.0,5-7-0,12
24,3929,22.0,288.0,130.0,219.0,625.0,5-7-0,12
25,5490,21.0,244.0,125.0,170.0,605.0,6-6-0,12
26,4373,21.0,206.0,125.0,180.0,585.0,4-8-0,12
27,3974,20.0,298.0,140.0,189.0,625.0,3-8-1,12
28,272,20.0,282.0,140.0,164.0,600.0,5-7-0,12
29,1168,20.0,276.0,155.0,137.0,630.0,4-7-1,12
30,816,20.0,252.0,165.0,167.0,560.0,5-6-1,12
31,341,20.0,226.0,175.0,211.0,545.0,6-6-0,12
32,321,19.0,270.0,125.0,236.0,625.0,4-8-0,12
33,1391,18.0,258.0,145.0,169.0,595.0,4-8-0,12
34,3151,16.0,270.0,140.0,196.0,555.0,4-8-0,12
35,5420,16.0,216.0,160.0,176.0,560.0,3-9-0,12
36,2607,15.0,292.0,115.0,237.0,585.0,3-9-0,12
37,1370,11.0,286.0,115.0,146.0,575.0,3-9-0,12
